city,date,retail,grocery,parks,transit,work,home
Bologna,2020-03-20,-80,-37,-77,-79,-62,34
Bologna,2020-03-21,-87,-51,-85,-83,-64,28
Bologna,2020-03-22,-96,-95,-91,-91,-64,24
Bologna,2020-03-23,-80,-40,-78,-81,-68,34
Bologna,2020-03-24,-81,-45,-79,-80,-68,35
Bologna,2020-03-25,-83,-47,-83,-82,-70,36
Bologna,2020-03-26,-86,-53,-86,-85,-74,39
Bologna,2020-03-27,-84,-43,-83,-83,-72,39
Bologna,2020-03-28,-88,-54,-85,-84,-67,28
Bologna,2020-03-29,-96,-95,-89,-90,-65,24
Bologna,2020-03-30,-82,-44,-77,-81,-70,34
Bologna,2020-03-31,-92,-44,-77,-80,-71,36
Bologna,2020-04-01,-92,-42,-76,-80,-70,36
Bologna,2020-04-02,-91,-42,-76,-80,-71,37
Bologna,2020-04-03,-87,-38,-78,-81,-70,38
Bologna,2020-04-04,-91,-51,-85,-83,-65,28
Bologna,2020-04-05,-97,-95,-88,-90,-65,24
Bologna,2020-04-06,-85,-38,-73,-79,-67,33
Bologna,2020-04-07,-84,-40,-74,-79,-67,35
Bologna,2020-04-08,-83,-37,-75,-79,-67,34
Bologna,2020-04-09,-83,-34,-75,-79,-67,35
Bologna,2020-04-10,-83,-29,-77,-79,-68,37
Bologna,2020-04-11,-89,-47,-83,-81,-64,27
Bologna,2020-04-12,-97,-96,-88,-91,-67,24
Bologna,2020-04-13,-97,-96,-85,-92,-92,44
Bologna,2020-04-14,-82,-38,-74,-78,-65,33
Bologna,2020-04-15,-82,-36,-73,-77,-63,33
Bologna,2020-04-16,-80,-37,-73,-77,-63,33
Bologna,2020-04-17,-81,-34,-75,-79,-63,35
Bologna,2020-04-18,-86,-46,-82,-81,-60,27
Bologna,2020-04-19,-95,-85,-86,-88,-59,23
Bologna,2020-04-20,-81,-46,-80,-81,-62,31
Bologna,2020-04-21,-80,-41,-76,-78,-61,33
Bologna,2020-04-22,-80,-37,-72,-76,-60,32
