date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,rt1,rt2
2020-05-05,10,18.2833333333333,55.0131436733449,25,16,47,-62,-17,-33,-52,-41,18,0.606045041830033,0.654430685156534
2020-05-06,29,17.0333333333333,58.7975136047802,34,19,41,-64,-19,-43,-54,-40,19,0.612858384218704,0.658914386028079
2020-05-07,37,17.5,45.6936920289724,34,14,54,-61,-19,-27,-53,-40,18,0.619139878139565,0.684883896347215
2020-05-08,20,20,44.3672790063409,57,19,71,-64,-14,-39,-55,-40,20,0.626736508163051,0.712568611659889
2020-05-09,17,19.5,49.3484990473813,50,18,70,-67,-21,-36,-51,-38,14,0.636798941069385,0.743791444485428
2020-05-10,10,19.75,58.2127198159011,42,19,59,-79,-86,-50,-53,-30,13,0.645415799568356,0.777319775236177
2020-05-11,2,17,77.9217703079306,34,12,43,-61,-21,-57,-59,-38,19,0.65513085292454,0.798119157205552
2020-05-12,11,15.5166666666667,77.0987730791745,25,14,41,-59,-19,-33,-52,-37,18,0.665806136487269,0.822481007176804
2020-05-13,10,16,82.0010371012391,21,10,24,-61,-21,-47,-54,-37,19,0.677210253811747,0.821493436467079
2020-05-14,11,19.25,71.8099984327766,17,22,50,-58,-18,-25,-52,-36,17,0.68980737381931,0.820293925583523
2020-05-15,19,17.5833333333333,82.686805615802,42,17,35,-62,-13,-48,-56,-37,20,0.70209437470266,0.798437247358187
2020-05-16,5,16.5333333333333,84.4655406094186,38,15,37,-66,-20,-40,-53,-32,15,0.714384483028238,0.767653169932373
2020-05-17,4,19.75,71.932132538841,38,12,41,-74,-83,-30,-44,-24,12,0.727716886969232,0.721738170725418
2020-05-18,2,21.25,58.5847952300074,34,18,46,-35,-11,-8,-44,-31,12,0.740807194795435,0.682198989143008
2020-05-19,32,19.4833333333333,76.5366964745242,46,20,35,-40,-14,-31,-48,-32,15,0.754034282796207,0.647528683956852
2020-05-20,16,19.6333333333333,70.4973704849949,46,20,53,-37,-12,-10,-42,-31,13,0.770642751869771,0.629392965456104
2020-05-21,0,20.8833333333333,48.4672121165994,46,19,51,-34,-10,7,-43,-35,13,0.786828074521324,0.641331905824274
2020-05-22,10,21.25,53.1853669621154,50,20,57,-40,-8,-9,-45,-31,14,0.802174391634424,0.631135487113069
2020-05-23,6,22,62.7274026129098,53,24,66,-43,-13,-6,-39,-22,7,0.817589901920713,0.652924946848049
2020-05-24,6,20.25,51.7207481266314,53,14,45,-50,-48,-10,-33,-9,6,0.833556335910537,0.673500950988963
2020-05-25,2,21,47.4150548802332,42,13,46,-33,-13,-3,-43,-30,11,0.850517014858671,0.662053116356373
2020-05-26,2,19.3333333333333,56.2050592911912,34,13,46,-33,-12,4,-41,-29,12,0.869730399872213,0.667394935768977
2020-05-27,0,19.5,48.5579736978254,34,14,49,-32,-11,2,-40,-29,11,0.887432072424504,0.651286818324477
2020-05-28,8,19.25,53.4374600827767,34,17,50,-32,-9,-2,-43,-30,11,0.906476337252973,0.654051637515721
2020-05-29,6,17,62.6486005793698,38,11,42,-37,-7,-11,-43,-30,12,0.922295045586979,0.66072857989991
2020-05-30,5,18.5,59.5030779997006,38,17,45,-38,-10,2,-36,-19,6,0.941880155241413,0.712735549810303
2020-05-31,1,17.75,55.4655939128274,50,13,43,-42,-36,3,-29,-3,5,0.961244475548931,0.749858033034266
2020-06-01,0,21,51.251242233074,34,14,53,-14,9,73,-32,-46,10,0.977500135940709,0.807284802288199
2020-06-02,1,21.4333333333333,53.1690719931528,38,17,60,-32,-43,132,-39,-76,17,0.995256099446815,0.850507587039948
2020-06-03,0,21.5,55.8883501720036,42,15,32,-28,-4,3,-33,-27,9,1.01223538842629,0.916534543050516
2020-06-04,1,16,93.8433927087133,38,16,29,-35,-11,-53,-49,-30,13,1.03116756264415,0.971026303936481
2020-06-05,2,19.7833333333333,71.8914211701529,34,5,47,-26,-5,16,-41,-28,9,1.04962737621596,1.04386089515209
2020-06-06,3,20.95,73.8831947120779,17,15,51,-26,-11,28,-31,-18,4,1.06649199612708,1.09675019982187
2020-06-07,0,20.4,77.9901837873989,42,14,32,-37,-26,-32,-43,-4,6,1.08361464030954,1.15092735104295
2020-06-08,0,17,90.952229504926,34,9,28,-29,-17,-27,-46,-27,10,1.09830368121066,1.14261888006307
2020-06-09,1,18.25,81.4850963353787,21,10,39,-20,-8,16,-41,-26,9,1.11496516273513,1.2034502304298
2020-06-10,1,15.1666666666667,90.8410857297592,30,14,38,-25,-14,-20,-44,-27,10,1.13265409620195,1.23304708184146
2020-06-11,0,16.9166666666667,80.0359450455225,34,14,41,-17,-3,18,-42,-26,8,1.1473958680437,1.21927892235451
