date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-26,56,20.35,50.3878320632687,50,11,43,13,-91,-62,-78,-77,-51,21,9.21991180707999,0.677243957345544,0.775137390632891,2
2020-04-27,75,21,63.0294968327881,34,14,39,20,-73,-29,-52,-59,-52,25,8.58173148947518,0.677817913279397,0.71700349483,2
2020-04-28,92,16.8333333333333,100,46,11,30,21,-75,-36,-54,-59,-53,28,7.98817982738534,0.678755150166719,0.666098243089056,2
2020-04-29,75,20.7,48.6938679060724,30,8,39,11,-75,-32,-52,-59,-52,27,7.43667955652454,0.680378648194817,0.627604778805284,2
2020-04-30,69,19,62.3979532004864,30,13,34,19,-72,-19,-50,-60,-52,26,6.92466290138811,0.681555583909219,0.592960567491264,2
2020-05-01,53,18.8,68.4291222932683,42,14,34,18,-94,-94,-66,-85,-87,45,6.44997083981757,0.682816677433857,0.570862971485131,2
2020-05-02,60,23.5,23.0644012732093,42,9,37,7,-82,-34,-65,-64,-51,23,6.00983879291207,0.686781236771869,0.55914404906015,2
2020-05-03,39,21,53.9015383159348,30,10,43,8,-91,-71,-74,-75,-47,21,5.60149879806002,0.690662493627995,0.552878139553784,2
2020-05-04,37,21.2,38.3631622035928,30,13,45,18,-57,-22,-9,-42,-41,17,5.22413824019677,0.696514346492648,0.549137681527798,2
2020-05-05,35,22,56.9082555988863,38,15,37,23,-60,-24,-10,-44,-42,19,4.87697110788923,0.702033298205796,0.554108015068405,2
2020-05-06,9,19.95,67.0541902007804,42,19,42,15,-60,-24,-21,-46,-41,19,4.55860320415074,0.708266864628381,0.560279417283547,2
2020-05-07,5,22,32.6493100953755,55,18,50,29,-61,-27,-3,-46,-41,20,4.26708111626178,0.71408268562539,0.568312751141717,2
2020-05-08,34,23.1,42.4088577944325,50,19,57,24,-62,-21,-8,-47,-41,21,4.00016604572565,0.720569858617914,0.577214666448555,2
2020-05-09,12,23.9,29.5932462143044,53,13,55,19,-65,-30,-22,-42,-39,15,3.7554928647481,0.727678594750222,0.599143937143151,2
2020-05-10,15,22.5,55.1086753945255,34,14,50,5,-74,-55,-35,-52,-30,13,3.53101881388138,0.73604551519828,0.611130953459907,2
2020-05-11,14,19,70.2491063864026,42,10,39,11,-56,-27,-35,-47,-38,18,3.32539273645204,0.74311143243859,0.6223670046171,2
2020-05-12,11,21.4,70.4415274127626,34,14,36,19,-56,-24,-17,-44,-37,19,3.13755079010867,0.752302835489378,0.632341157100879,2
2020-05-13,5,17,93.9274839624694,46,20,25,14,-59,-25,-38,-45,-38,19,2.96584280652248,0.76146863090139,0.650595152485118,2
2020-05-14,14,21.7,68.926936796543,46,27,40,11,-56,-25,-11,-42,-37,18,2.80911860621051,0.771000792929053,0.663647036633101,2
2020-05-15,7,18.3,100,63,13,32,17,-58,-19,-26,-43,-38,20,2.66654539973842,0.781006258143417,0.690387618157348,2
2020-05-16,5,18.5,85.827045738471,30,19,32,16,-63,-28,-36,-42,-33,15,2.53695356104106,0.792501842943574,0.691752566999907,2
2020-05-17,5,21.2,75.4804889842106,50,18,41,14,-69,-50,-31,-48,-25,12,2.41925253211432,0.803811388349147,0.706374280432288,2
2020-05-18,11,24,58.9731811660256,57,26,42,22,-35,-19,10,-33,-31,13,2.31273856751521,0.814842919830883,0.712939540635653,2
2020-05-19,3,20,94.0884112480938,65,24,32,19,-41,-19,-19,-39,-32,16,2.21667719325069,0.827775127812442,0.730261736300178,2
2020-05-20,11,23.5,54.9737262897112,61,18,48,18,-38,-15,6,-35,-31,14,2.13005707855766,0.842314515081014,0.754732562255685,2
2020-05-21,2,24,41.2475133813725,50,19,49,35,-38,-17,8,-35,-32,14,2.05236707882364,0.85683307657639,0.791526072674476,2
2020-05-22,6,25.45,50.4029291495404,53,23,64,23,-39,-12,9,-34,-31,15,1.98357002977953,0.871377242348051,0.821512851615683,2
2020-05-23,2,24.25,57.1271131427159,61,20,59,20,-42,-18,11,-24,-22,8,1.92329473257,0.887285368456393,0.868559053558235,2
