date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-05-28,25,19.25,53.4374600827767,17,14,46,23,-37,-17,2,-30,-27,11,55.9564974569669,1.12590706885208,1.3495507318111
2020-05-29,8,17,62.6486005793698,30,9,37,8,-38,-15,-1,-31,-28,12,57.600921987523,1.09940008700049,1.33015732639546
2020-05-30,18,18.5,59.5030779997006,17,13,38,11,-38,-17,14,-22,-23,9,59.0294660776778,1.0745004566103,1.31001099075052
2020-05-31,23,17.75,55.4655939128274,34,9,40,7,-40,-34,24,-16,-2,7,60.2173992563936,1.05329336040734,1.2863600957231
2020-06-01,25,21,51.251242233074,21,10,44,10,-18,5,67,-24,-44,12,61.1496729736507,1.03299915314426,1.26186639831001
2020-06-02,35,21.4333333333333,53.1690719931528,21,13,55,16,-44,-54,123,-42,-77,21,61.8381933788602,1.01027170042893,1.24523798989623
2020-06-03,45,21.5,55.8883501720036,30,13,45,13,-33,-10,10,-26,-26,8,62.2957394063455,0.988364045735127,1.23212096620251
2020-06-04,44,16,93.8433927087133,25,10,28,15,-41,-14,-59,-40,-28,12,62.505082854242,0.969402137240736,1.21533969838891
2020-06-05,20,19.7833333333333,71.8914211701529,34,7,42,9,-28,-8,25,-25,-25,8,62.4502228646163,0.951348668354363,1.19361293901085
2020-06-06,8,20.95,73.8831947120779,13,14,48,6,-29,-16,31,-14,-23,5,62.147728845328,0.933670918331694,1.16566675363047
2020-06-07,42,20.4,77.9901837873989,42,10,27,7,-36,-26,-10,-15,-6,5,61.6213645607253,0.919658969241995,1.14240811982245
2020-06-08,115,17,90.952229504926,17,7,26,7,-31,-15,-34,-31,-25,9,60.8846824243251,0.907677370732303,1.13402208346527
2020-06-09,57,18.25,81.4850963353787,34,8,37,8,-27,-13,0,-28,-24,8,59.9655716378979,0.893372849279227,1.12359121845648
2020-06-10,36,15.1666666666667,90.8410857297592,13,10,32,11,-28,-13,-15,-30,-24,9,58.9013839460096,0.882052577175629,1.10748271272886
2020-06-11,24,16.9166666666667,80.0359450455225,34,10,41,9,-22,-8,2,-28,-24,8,57.7022188295996,0.871252446540843,1.08955923975557
2020-06-12,60,19.75,64.3043853191229,30,12,41,13,-22,-9,38,-19,-24,6,56.3801151039559,0.863840864082808,1.07655415177019
2020-06-13,85,20.6833333333333,65.8525805073809,34,18,45,12,-29,-17,13,-21,-21,4,54.9601751430023,0.854948738664534,1.06482477307991
2020-06-14,75,19.75,81.6370418359738,53,8,40,6,-26,-21,27,-8,0,2,53.4738718460297,0.845575165652691,1.06204197649734
2020-06-15,56,19.5,82.5155802015595,17,14,39,8,-24,-12,-3,-27,-23,7,51.9355761032415,0.838612832723351,1.06033732624869
2020-06-16,78,20.8666666666667,74.4616631970303,46,12,36,14,-18,-10,33,-22,-23,6,50.3421836335842,0.830521472470384,1.06064250283182
2020-06-17,61,20,79.283770451768,17,11,38,9,-22,-13,13,-26,-23,7,48.7075371592402,0.823603170769078,1.06427186831224
2020-06-18,74,20.5333333333333,66.7583513473406,30,12,37,8,-18,-13,29,-21,-23,6,47.0454407094906,0.814913369701618,1.06307853354042
2020-06-19,58,19.5666666666667,64.7025129644625,38,10,39,10,-21,-11,28,-20,-24,6,45.365110142174,0.807241650646959,1.06592498990907
2020-06-20,40,21.5,60.5973255522966,13,11,44,14,-24,-17,47,-8,-18,1,43.6691332679851,0.798917428099751,1.06726351662369
2020-06-21,63,23.5,46.937482360452,34,10,50,11,-29,-26,28,2,2,-2,41.9602774263935,0.792640966110384,1.06850781657721
2020-06-22,97,25.5,42.590434125374,17,13,52,16,-20,-14,21,-22,-23,5,40.2458851540342,0.785017204272828,1.06717181460148
2020-06-23,102,27.75,38.0030606316494,21,14,61,15,-19,-13,38,-20,-24,5,38.5380514117892,0.775972573065485,1.06500628567307
2020-06-24,46,24.65,50.7537962219489,25,18,47,13,-19,-13,37,-18,-23,5,36.8432931930733,0.766574774112554,1.0596451250762
2020-06-25,48,23,60.8084936113681,30,18,48,10,-20,-10,28,-17,-22,5,35.1571278425456,0.756526448138458,1.05275596268081
2020-06-26,71,25.0333333333333,61.2837711758124,30,15,52,12,-21,-11,36,-16,-23,4,33.477226001339,0.746996578068862,1.03644068172433
2020-06-27,67,26.5,56.0189147196181,34,20,63,16,-27,-19,34,-11,-20,0,31.8055917895758,0.738987083350404,1.0113071663815
2020-06-28,66,26.75,62.6285092509952,42,20,55,14,-32,-26,2,-3,4,-3,30.1493459503352,0.730397666700576,0.98117346045398
2020-06-29,86,26,64.1683226405775,50,18,47,13,-20,-11,17,-23,-22,4,28.5210512606391,0.722340878472176,0.95081693536516
2020-06-30,148,27.25,57.1079037242048,38,15,46,8,-16,-11,35,-32,-22,4,26.9282061024291,0.71552926266292,0.927521675012275
2020-07-01,74,25.7333333333333,78.5743408276901,34,18,43,8,-17,-9,30,-30,-22,4,25.3748741313126,0.708169421768948,0.897550664454677
2020-07-02,83,24.9666666666667,72.7874255753465,38,11,53,7,-17,-13,20,-32,-23,4,23.8683619406593,0.702688874764455,0.865383556356981
2020-07-03,108,24.25,62.0749173687162,42,10,38,6,-20,-11,12,-33,-24,5,22.4141482424839,0.696653984110996,0.834758996447226
2020-07-04,80,24.5,57.5074563236852,21,10,45,8,-24,-19,32,-26,-21,0,21.0173336131355,0.691210917598294,0.801386416409672
2020-07-05,63,25.75,60.50340242247,30,16,57,12,-31,-27,3,-16,-1,-3,19.6811546253805,0.685946594285822,0.76511262710178
2020-07-06,119,27.75,58.0450414738536,38,23,63,16,-20,-14,15,-34,-24,3,18.4067169510224,0.682242092207985,0.728886009436413
2020-07-07,87,22.0666666666667,57.3782413553945,59,11,37,8,-15,-12,37,-34,-24,3,17.1950199743791,0.677566037253201,0.693382474455376
2020-07-08,122,23.5,49.2889831127025,21,13,49,15,-19,-16,35,-33,-22,3,16.048209774485,0.674898161489838,0.65715343377268
2020-07-09,49,25,53.8432217530453,21,17,67,17,-18,-14,25,-35,-23,3,14.9656663386453,0.67174276303099,0.629253449786896
2020-07-10,83,27,56.9794437428327,30,24,74,26,-20,-14,32,-32,-23,3,13.9470125907679,0.669724387608278,0.5997395071643
2020-07-11,43,23.5,73.7606516532995,46,20,61,11,-28,-20,1,-25,-22,2,12.9911845766757,0.668555301480828,0.576572836986425
2020-07-12,78,22.5,54.4442138490836,46,6,36,10,-27,-21,16,-11,2,-4,12.0968026597662,0.668420104538847,0.561523612681048
2020-07-13,74,21.75,42.7290053553462,9,8,40,7,-18,-13,22,-33,-23,3,11.2631775882079,0.668465734748243,0.558341577695163
2020-07-14,18,21,57.1179910420726,9,12,45,14,-14,-12,41,-31,-23,3,10.4889075116339,0.667376779453633,0.55837724830837
2020-07-15,32,22,60.5096217891958,17,15,53,19,-14,-12,36,-33,-23,3,9.77163268536368,0.666929919779309,0.552167758517323
2020-07-16,18,23.5,61.6497859311517,34,19,57,14,-15,-13,27,-34,-22,3,9.10640992103232,0.667418184745199,0.555098041200061
2020-07-17,17,21.75,75.750328866484,42,13,42,7,-17,-11,28,-30,-23,3,8.48911264090779,0.668240650676125,0.568116273195597
2020-07-18,46,22.25,58.6385564119442,38,5,44,7,-23,-19,36,-19,-20,-1,7.91800302051247,0.670189817458695,NaN
2020-07-19,10,23.25,54.3204628470875,13,10,55,9,-27,-23,15,-10,2,-4,7.3915478019875,0.670393676603832,NaN
2020-07-20,14,25.5,57.6660513314124,17,13,58,14,-18,-14,23,-31,-22,2,6.90759718878721,0.671097886424123,NaN
2020-07-21,6,25.5,60.4440935572534,21,18,63,14,-15,-13,40,-36,-22,3,6.46175709713329,0.671740492094986,NaN
2020-07-22,4,26.2833333333333,59.6082046408075,38,22,67,13,-17,-14,28,-35,-23,3,6.05006300801419,0.673146579125724,NaN
2020-07-23,7,25,72.8508916757418,46,11,57,7,-16,-14,27,-31,-23,3,5.66980776915264,0.673101722141476,NaN
2020-07-24,10,21.7666666666667,75.4090287572858,25,11,34,12,-21,-11,10,-32,-24,4,5.31888029341481,0.674370904967829,NaN
2020-07-25,1,24,66.4039201724296,42,12,46,10,-21,-18,36,-14,-20,-1,4.9947550517986,0.675213526735244,NaN
2020-07-26,3,24.25,64.1294577766211,46,15,46,13,-24,-22,12,-4,1,-4,4.69542408202288,0.674476073525831,NaN
2020-07-27,1,25.5,67.4064565268709,30,14,52,11,-16,-11,35,-32,-24,2,4.41972579031267,0.674300501491013,NaN
2020-07-28,0,27.25,68.7142478721164,25,24,68,14,-16,-12,38,-35,-23,3,NaN,NaN,NaN
2020-07-29,0,27.5,68.9768690846089,46,30,66,13,-17,-14,34,-35,-23,3,NaN,NaN,NaN
2020-07-30,0,29.25,67.0993578483023,76,29,69,14,-18,-13,10,-36,-24,3,NaN,NaN,NaN
2020-07-31,0,28.75,62.1286821911941,55,30,72,14,-19,-12,26,-30,-25,2,NaN,NaN,NaN
2020-08-01,0,30,65.2100838563532,68,NaN,NaN,NaN,-28,-20,3,-18,-24,-1,NaN,NaN,NaN
