date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-29,12,17.25,69.9822510930224,38,10,39,12,-73,-38,-53,-82,-55,27,13.6508263100694,0.816606769806755,1.03364686992593,18
2020-04-30,7,16,80.9410952047433,42,20,33,12,-69,-26,-62,-82,-56,27,13.142965556538,0.815639549917897,1.00455018910649,18
2020-05-01,28,15.75,81.4182900313364,59,20,33,11,-92,-84,-79,-93,-88,45,12.6483444364903,0.816039090966375,0.966052450718794,18
2020-05-02,23,20.7166666666667,36.7158903898282,53,8,38,10,-77,-45,-64,-83,-54,23,12.1703096134596,0.816779244161531,0.915882319019882,18
2020-05-03,30,19.25,46.0231564241511,34,12,43,9,-90,-79,-72,-84,-45,20,11.710204291793,0.816639445648217,0.846071485349344,18
2020-05-04,15,19.2,39.7811479564335,34,12,26,18,-52,-28,-8,-72,-46,19,11.2687235272023,0.816759965981701,0.788862622859323,18
2020-05-05,52,18,59.604427316388,38,18,38,25,-56,-30,-17,-72,-46,21,10.8445134640363,0.817022886311319,0.744460910490585,18
2020-05-06,41,18.5,64.8023838652807,38,20,47,18,-58,-30,-13,-71,-45,21,10.4361369047834,0.81759811701539,0.702052114912371,18
2020-05-07,49,18.5,49.9789036380683,53,19,63,9,-55,-28,-10,-70,-45,21,10.0434238527559,0.818921727010936,0.685289895908105,18
2020-05-08,18,20.8166666666667,34.5195278563429,46,23,71,13,-57,-30,-14,-72,-45,22,9.66642839889192,0.820378960816715,0.683873587287395,18
2020-05-09,42,21.25,38.2157741970524,57,14,61,24,-61,-36,-2,-66,-41,16,9.30556220417573,0.822957105569,0.693285236225941,18
2020-05-10,7,19.25,65.2680061962864,25,15,56,8,-73,-67,-18,-68,-28,14,8.96116538763224,0.825355583351601,0.709836348292723,18
2020-05-11,6,15.5,93.127769355491,53,10,33,6,-57,-35,-48,-73,-44,21,8.63363168825821,0.827547495091607,0.725629607583269,18
2020-05-12,16,18.3,74.3278437695918,46,15,42,13,-55,-30,-16,-72,-43,20,8.32272780724551,0.829840976482407,0.749464164632342,18
2020-05-13,8,15,87.9193122274777,53,20,19,18,-57,-32,-34,-70,-43,21,8.02731990071911,0.832493099464629,0.77248267000679,18
2020-05-14,12,19,78.9912477321375,50,26,46,15,-54,-27,-14,-67,-44,20,7.74648882218511,0.833360234054269,0.793424348921904,18
2020-05-15,12,17.5,74.0387351068856,63,14,43,8,-58,-30,-32,-70,-43,22,7.47973409099327,0.83519693937726,0.817080901275139,18
2020-05-16,16,18.6666666666667,72.7403688128116,30,22,39,8,-59,-35,-11,-65,-35,16,7.22515607397677,0.83701713448683,0.83764984348472,18
2020-05-17,10,19.5,79.1485285927345,57,17,44,15,-67,-63,-1,-65,-21,13,6.98122082904793,0.840141296878654,0.85889096862794,18
2020-05-18,2,22.5,64.7224013512103,55,26,48,17,-31,-21,17,-63,-38,15,6.74786215730444,0.842541912627847,0.872929924746422,18
