date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-04-23,64,16.25,51.2113805000392,70,25,57,29,1,-80,-41,-80,-83,-66,34,24.5285672953195,0.777260770890494,0.899925344163605
2020-04-24,55,18,48.1284250603282,70,33,66,38,2,-81,-39,-77,-81,-66,35,23.3719146009388,0.778999661860578,0.887734261388548
2020-04-25,45,18.25,52.2213361291976,80,16,51,13,1,-92,-70,-85,-83,-72,29,22.2841765596886,0.783316741333202,0.874678751007292
2020-04-26,60,18.25,54.3892351035948,46,11,48,12,1,-94,-77,-89,-81,-57,23,21.257670295501,0.787706395591464,0.860993119885944
2020-04-27,39,17.05,59.3837290887339,30,11,38,18,1,-76,-39,-78,-82,-63,31,20.2920305184412,0.790648424591495,0.855489181777889
2020-04-28,121,17,68.6039711659046,30,14,32,15,1,-78,-42,-77,-82,-63,33,19.3890922532054,0.794969748962502,0.859484653953361
2020-04-29,37,17.25,69.9822510930224,34,9,39,13,1,-78,-38,-70,-82,-62,32,18.5431298190367,0.799904601907497,0.864820420471428
2020-04-30,30,16,80.9410952047433,34,12,36,15,1,-76,-29,-79,-82,-62,32,17.7492289834253,0.805534131120667,0.878691118524636
2020-05-01,25,15.75,81.4182900313364,46,11,34,10,1,-93,-85,-82,-91,-90,47,17.0067952761228,0.812328360380343,0.881533546144145
2020-05-02,16,20.7166666666667,36.7158903898282,38,10,39,11,1,-82,-48,-79,-74,-59,25,16.3156091740137,0.819133862782331,0.886593239361579
2020-05-03,78,19.25,46.0231564241511,25,9,46,9,1,-92,-70,-85,-77,-49,22,15.6750754802882,0.825312604827225,0.888661739670649
2020-05-04,27,19.2,39.7811479564335,30,12,50,21,1,-60,-26,-48,-66,-49,22,15.082876674693,0.830168015138205,0.892280894583869
2020-05-05,31,18,59.604427316388,34,14,43,27,1,-60,-26,-42,-67,-49,23,14.5342112957031,0.836887354901465,0.889244829637206
2020-05-06,12,18.5,64.8023838652807,42,21,44,19,1,-62,-28,-34,-69,-48,24,14.0227163692803,0.84270372381829,0.894863896563525
2020-05-07,81,18.5,49.9789036380683,65,20,62,22,1,-60,-27,-43,-67,-49,24,13.5462264360608,0.851314348882603,0.894096683214802
2020-05-08,41,20.8166666666667,34.5195278563429,53,22,66,22,2,-61,-29,-36,-66,-48,25,13.104229773923,0.858895929237385,0.897837109976212
2020-05-09,31,21.25,38.2157741970524,50,13,59,14,2,-65,-38,-33,-50,-42,17,12.6974613845456,0.865680904494936,0.899570981959935
2020-05-10,9,19.25,65.2680061962864,30,18,55,15,1,-73,-57,-53,-52,-25,14,12.3249246028157,0.872944686605915,0.89512204478509
2020-05-11,19,15.5,93.127769355491,53,15,33,12,1,-64,-42,-72,-73,-48,24,11.9824995806431,0.879340526577687,0.88344034782258
2020-05-12,38,18.3,74.3278437695918,46,10,37,15,1,-56,-27,-32,-66,-45,23,11.6673972823824,0.886315453038922,0.861185615571278
2020-05-13,29,15,87.9193122274777,34,17,21,20,1,-63,-36,-57,-71,-46,25,11.3775282256726,0.893001029678763,0.835770949397463
2020-05-14,41,19,78.9912477321375,38,30,39,17,1,-56,-24,-17,-66,-45,22,11.1106764174147,0.898344188973978,0.803263597587886
2020-05-15,37,17.5,74.0387351068856,70,9,41,16,1,-60,-30,-42,-68,-46,25,10.8651304383966,0.904872772587672,0.782050013784695
2020-05-16,46,18.6666666666667,72.7403688128116,21,19,38,10,1,-62,-37,-34,-51,-36,17,10.6385592441647,0.909360288510199,0.759006320666341
2020-05-17,22,19.5,79.1485285927345,53,15,36,13,1,-67,-51,-28,-44,-17,13,10.4295557075186,0.915794235088929,0.739656700917463
2020-05-18,9,22.5,64.7224013512103,25,21,47,13,1,-35,-22,-17,-58,-40,18,10.2361202400132,0.919589794961967,0.724050233514885
2020-05-19,42,18.9333333333333,82.848581790096,42,18,35,21,1,-39,-23,-26,-61,-41,19,10.0574962145614,0.923449959163234,0.709402876724082
