date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-04-15,94,11.55,79.2396151439334,57,19,7,-84,-41,-75,-74,-62,32,68.8234537138876,0.784829551599148,0.813597832986425,13
2020-04-16,168,13.15,71.7463680046329,50,22,15,-82,-40,-75,-74,-61,32,65.686613428055,0.788210643064583,0.802568493701567,13
2020-04-17,212,14.45,69.7431490050925,57,25,27,-83,-38,-76,-74,-61,33,62.7342458394621,0.789727315590522,0.789435902609188,13
2020-04-18,191,16.375,74.6567974669216,59,21,36,-89,-53,-86,-79,-63,28,59.9566003972813,0.791877088253664,0.78858070133906,13
2020-04-19,188,17.6,79.3662486248604,46,26,32,-96,-88,-92,-85,-58,24,57.3340942211229,0.793156886578951,0.792770519353823,13
2020-04-20,58,14.75,91.1547291527833,55,14,4,-82,-44,-77,-75,-58,29,54.8502868406242,0.795901985136774,0.796447341125071,13
2020-04-21,74,12.75,78.3461670173852,38,20,10,-81,-42,-71,-73,-58,29,52.4936752238992,0.796132968050173,0.801062495626805,13
2020-04-22,100,14,53.8148630077645,57,17,11,-81,-43,-73,-71,-57,29,50.2605319384929,0.797004544502921,0.807213607003277,13
2020-04-23,130,14.925,61.0023646385544,46,26,14,-81,-39,-73,-71,-57,30,48.1388103645272,0.798079789726055,0.822883741844275,13
2020-04-24,167,17.3,55.0457941782722,61,30,37,-82,-31,-75,-73,-57,31,46.1144896416159,0.800241399047182,0.847334829605637,13
2020-04-25,65,18,58.3462977780074,68,19,12,-93,-70,-87,-83,-72,29,44.1837753268227,0.800707961955835,0.883212110816854,13
2020-04-26,24,16.8,59.8314580683267,50,12,18,-95,-85,-91,-84,-56,23,42.3487834134046,0.802604173792215,0.910842479799189,13
2020-04-27,35,17.35,71.5966579022745,38,19,22,-78,-34,-71,-70,-53,27,40.60306582177,0.804285659142571,0.93181705868554,13
2020-04-28,92,16.1,84.313360437465,46,15,11,-79,-39,-71,-71,-54,28,38.9412364992437,0.806422974810071,0.949160401331686,13
2020-04-29,115,14.9166666666667,85.9314420376224,38,6,8,-80,-39,-74,-72,-54,29,37.3618264155698,0.810521124689246,0.966834187133766,13
2020-04-30,55,16.2,72.339207285425,9,10,10,-77,-24,-73,-70,-54,27,35.8631944437786,0.813497489852505,0.981002552719796,13
2020-05-01,68,15.1,81.4207652217378,30,9,10,-94,-83,-82,-86,-87,45,34.4492545933267,0.81667235707328,0.993278927704211,13
2020-05-02,70,18.05,56.6142779321514,21,10,33,-84,-42,-83,-75,-60,26,33.1178867892123,0.820452081058233,0.998395761852006,13
2020-05-03,29,17.5,55.3154658694021,34,8,8,-93,-78,-88,-80,-50,23,31.8617052329136,0.826816548669854,0.998757679914808,13
2020-05-04,94,18.275,49.2488128239891,25,10,31,-63,-23,-26,-49,-40,17,30.677213777117,0.835036753610054,0.990791256780387,13
2020-05-05,46,19.425,67.1403524243005,21,18,22,-64,-25,-27,-51,-41,19,29.5704565146794,0.842599006973478,0.981249341084209,13
2020-05-06,99,18.25,76.1619850283195,38,19,15,-65,-27,-40,-53,-40,20,28.5499415612381,0.847565949906173,0.967114474535387,13
2020-05-07,124,18.225,57.839474307699,46,16,21,-64,-26,-25,-51,-40,19,27.6130531543472,0.856243423948847,0.957581769952485,13
2020-05-08,69,21.2,54.9212537468221,42,24,38,-66,-23,-33,-52,-40,21,26.7453810772815,0.864893772413859,0.94490110726371,13
2020-05-09,46,20.225,60.9889816255409,55,20,37,-70,-32,-44,-51,-44,17,25.943565154622,0.876525530005482,0.927960174110513,13
2020-05-10,44,21.175,68.6210839374309,42,19,9,-79,-61,-59,-53,-29,14,25.2119387776381,0.886978910380199,0.900464131373922,13
2020-05-11,70,16.8,87.7024304739335,46,8,11,-66,-31,-62,-58,-38,19,24.5554859775484,0.895754648382423,0.870121650713314,13
2020-05-12,128,16.85,78.3152195431467,21,11,13,-61,-24,-28,-49,-37,18,23.9729298455549,0.904128556577997,0.847489857764904,13
2020-05-13,94,15.5,86.2608091590897,34,14,19,-64,-28,-46,-54,-37,19,23.4530440537858,0.911556234774455,0.824044922392393,13
2020-05-14,106,19.2916666666667,75.2737282635269,30,23,19,-61,-25,-23,-48,-36,18,22.9853985500472,0.920173601497437,0.814871749696973,13
2020-05-15,60,16.9,86.8426901730594,55,14,17,-65,-23,-48,-55,-38,21,22.5636267764122,0.926702816246314,0.820745493347652,13
2020-05-16,83,17.125,79.0364296768944,42,14,12,-67,-29,-46,-53,-38,17,22.1860432828174,0.93543221575276,0.831277169223008,13
2020-05-17,56,18.3,80.8878124256611,38,11,19,-74,-55,-42,-47,-23,13,21.8490886530466,0.941857742317439,0.855863200613385,13
2020-05-18,11,20.35,76.4513083024351,34,22,27,-40,-15,10,-39,-31,13,21.5511835612813,0.946802013924958,0.868648922320224,13
2020-05-19,41,19.25,84.2241931122804,55,16,19,-44,-16,-29,-45,-32,15,21.2888210934812,0.95298022453561,0.880878450177084,13
2020-05-20,50,19.8,70.1846237868959,38,20,18,-39,-16,15,-39,-31,14,21.0535843897412,0.956339243742005,0.893378977290071,13
2020-05-21,77,21.625,56.7758516800185,50,17,21,-38,-15,17,-37,-31,13,20.8434688706947,0.957499547615916,0.910412172295698,13
2020-05-22,19,22.3,65.5318074072315,53,22,37,-40,-12,18,-38,-31,14,20.6545141164396,0.961835187300212,0.926669079735871,13
2020-05-23,72,21.45,75.4222291592707,55,27,33,-41,-17,16,-30,-29,10,20.4769716714915,0.961868377093736,0.944521644553192,13
2020-05-24,59,21.2,63.2913704945679,61,7,8,-44,-32,26,-18,-9,6,20.3109905743214,0.963040325121879,0.96246459591608,13
2020-05-25,3,22.3,51.7492473037647,17,13,36,-34,-16,29,-35,-29,11,20.1541513354343,0.962146672605484,0.96750127267302,13
2020-05-26,10,21.05,60.158279288766,38,11,10,-33,-15,36,-35,-29,12,20.0018819261563,0.958582444176906,0.958925953719165,13
2020-05-27,33,20.8,52.4402406970767,30,11,12,-33,-14,37,-34,-28,12,19.8500673281549,0.954379683959562,0.942390424892497,13
2020-05-28,90,21.7,59.7535041673864,25,17,33,-33,-13,23,-35,-29,12,19.6903045008637,0.949883125717066,0.930239560837709,13
2020-05-29,71,18.225,64.2199588115094,38,9,16,-35,-10,24,-35,-29,13,19.5158753094476,0.944708073752584,0.930009075177316,13
2020-05-30,41,19.8,67.9170415950226,25,14,11,-33,-11,36,-24,-25,8,19.3247345062376,0.936545713295583,0.940493171714671,13
2020-05-31,44,18.95,69.6837505793987,46,10,12,-34,-23,53,-10,-2,6,19.1158837415944,0.929116214257136,0.939735319127986,13
2020-06-01,6,22.3,57.6045615175963,30,16,20,-8,12,210,-17,-47,11,18.883487266201,0.919152471843242,0.944739653197239,13
2020-06-02,36,22,66.5277343422186,42,12,18,-26,-31,307,-28,-76,21,18.6243032850886,0.911454234228699,0.93691610129243,13
2020-06-03,51,21.175,70.218769375421,34,10,16,-31,-9,20,-33,-27,10,18.335979903462,0.904487714108783,0.92606986291623,13
2020-06-04,20,17,87.5417369604138,30,6,12,-38,-13,-53,-47,-29,14,18.0201652403465,0.897788073746288,0.924507115902477,13
2020-06-05,89,18.425,76.9952996601509,17,11,15,-28,-9,37,-30,-27,10,17.6828306249475,0.889914372891336,0.917123926275236,13
2020-06-06,18,19.1,78.3438261254063,30,12,11,-28,-15,40,-22,-23,6,17.3273282640566,0.882791025210807,0.913826274643714,13
2020-06-07,19,19,83.4352638955756,38,10,12,-40,-25,-49,-41,-9,8,16.953012270474,0.876692655424517,0.906464958549122,13
2020-06-08,63,17.325,84.6261864873585,25,6,16,-26,-13,-4,-36,-26,10,16.5607880172797,0.871967702192239,0.903278471005807,13
2020-06-09,24,17.95,74.7659123176219,17,13,25,-21,-13,34,-31,-25,9,16.1551789609997,0.868656456651101,0.888129994616245,13
2020-06-10,12,16.05,84.5942534701458,34,13,17,-25,-13,-3,-36,-25,10,15.7417526782045,0.866057151283582,0.874364421659301,13
2020-06-11,81,15.55,84.8935695511513,34,9,12,-21,-6,19,-32,-25,9,15.3261979820028,0.864729070915737,0.861807674932102,13
2020-06-12,30,18.7,66.9723658639236,25,12,38,-21,-7,87,-25,-25,7,14.9127468778132,0.864159081161144,0.855816800490218,13
2020-06-13,21,19.125,72.9445018512191,34,12,20,-23,-13,83,-17,-21,4,14.5047536754767,0.862694762107841,0.844370307860894,13
2020-06-14,32,18.2,82.8922913147402,38,9,15,-27,-17,30,-16,1,3,14.1051859987662,0.863719051032955,0.837176779597345,13
2020-06-15,56,18.2,82.9741795667779,30,11,19,-20,-9,36,-30,-24,7,13.7143842156027,0.862787816126667,0.829829418524133,13
2020-06-16,11,20.2,76.3587649240535,30,10,28,-16,-9,59,-26,-23,8,13.3341144726846,0.863688689301458,0.830473797940653,13
