date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-03-10,24,8.9,38.4097308736167,76,-45,-10,-19,-52,-32,17,393.180594997643,1.1794641581307,1.56072289660737,21
2020-03-11,48,11.25,47.0651655299839,78,-52,-17,-15,-58,-38,20,411.378607723233,1.12420665820184,1.51771940704941,21
2020-03-12,28,8.1,100,65,-70,-26,-58,-68,-48,25,426.166083796272,1.07627020593525,1.46556703612109,21
2020-03-13,118,8,90.5956107851951,55,-74,-29,-50,-70,-54,29,437.271751976415,1.02978405492511,1.41256433637099,21
2020-03-14,0,5,100,55,-84,-48,-77,-76,-56,25,444.66234654241,0.989190425681863,1.36369295070795,21
2020-03-15,54,5,81.4642908658776,55,-91,-66,-78,-81,-55,22,448.361200489802,0.953946359194627,1.29934670205395,21
2020-03-16,183,7,68.42340049238,57,-75,-38,-61,-75,-60,28,448.494374440989,0.919871093490785,1.24624949396594,21
2020-03-17,207,10,56.6492970336175,68,-77,-41,-55,-75,-62,30,445.390927993864,0.893064600801957,1.20114987212161,21
2020-03-18,293,10.75,64.8611575512607,87,-79,-45,-62,-77,-63,31,439.334958382667,0.867387503375237,1.16255951490011,21
2020-03-19,0,12.7,56.4780328799832,95,-79,-44,-67,-77,-64,32,430.74109196444,0.845165340607827,1.12951632714766,21
2020-03-20,514,12.05,61.1451308514543,93,-80,-40,-71,-78,-65,34,420.037739203476,0.824995637498246,1.106168311924,21
2020-03-21,124,12,63.5444270793968,82,-86,-54,-83,-79,-61,26,407.571087126804,0.807686865859985,1.08779206527122,21
2020-03-22,309,8.5,90.9716166324459,76,-95,-84,-92,-87,-61,24,393.679078373458,0.791384710279528,1.06620157780318,21
2020-03-23,209,3.75,62.5702775968876,80,-81,-48,-81,-82,-72,34,378.700269956173,0.777462182559263,1.05440971557619,21
2020-03-24,298,4.5,52.6447297235739,38,-82,-49,-78,-82,-73,35,362.929900331834,0.764431336346031,1.0411543070817,21
2020-03-25,317,1.65,70.8422106632627,50,-83,-51,-81,-83,-74,36,346.631524319299,0.754991744491056,1.03253910884261,21
2020-03-26,295,0.45,83.4777570846846,55,-84,-51,-82,-83,-75,37,330.042355955976,0.746652862033248,1.02688442916986,21
2020-03-27,253,3.7,91.930917454884,50,-84,-48,-81,-83,-75,39,313.429213488343,0.738613061103639,1.02389878374252,21
2020-03-28,297,8.05,63.9152478758127,46,-87,-56,-83,-80,-64,27,297.023635667537,0.730614499640827,1.0220541321638,21
2020-03-29,275,8.8,64.8763528924418,65,-95,-84,-90,-86,-61,23,280.940666009892,0.723548374333291,1.0197606093908,21
2020-03-30,217,5,100,72,-83,-50,-80,-81,-74,35,265.226686236471,0.718434122686392,1.01638421204419,21
2020-03-31,305,1.35,87.2660892433376,50,-91,-47,-77,-81,-74,36,249.943199934798,0.713508416888046,1.01275964362536,21
2020-04-01,256,1.7,53.5528979209618,30,-90,-46,-76,-80,-74,36,235.188997252078,0.710542504879643,1.00836610015177,21
2020-04-02,280,4.15,58.9985327658402,57,-90,-44,-75,-79,-73,36,221.032328435675,0.707135269771911,1.00609306854101,21
2020-04-03,304,6.45,60.0040380235811,76,-85,-42,-75,-80,-72,38,207.52522665305,0.704603392462822,1.00658188392584,21
2020-04-04,477,8.25,44.1955966352801,89,-89,-54,-83,-79,-63,27,194.687581860674,0.70185997914788,1.01478758586907,21
2020-04-05,213,8.4,41.5313136448201,80,-96,-84,-89,-86,-61,24,182.515138881583,0.699119239846887,1.02384243934745,21
2020-04-06,195,10.9,44.6338184499877,74,-83,-44,-76,-79,-71,33,170.993266944262,0.695963071789129,1.03205974236434,21
2020-04-07,195,12.2,35.315902414718,68,-82,-41,-73,-79,-71,34,160.094251532696,0.693286297121375,1.03233437403091,21
2020-04-08,220,11.85,28.8596311170402,65,-82,-41,-75,-79,-71,34,149.781688096766,0.691182898448952,1.03003998009588,21
2020-04-09,330,13,26.562257595217,59,-81,-36,-74,-78,-71,34,140.031619106592,0.688397693765118,1.02645153131144,21
2020-04-10,301,14,26.2774445600115,59,-81,-32,-73,-77,-71,36,130.834820897798,0.686798402496792,1.01895996108084,21
2020-04-11,379,14.3,23.8324520303916,55,-86,-49,-81,-77,-60,26,122.166895621768,0.684369402932452,1.01312085993334,21
2020-04-12,334,12.9,31.7317115226067,53,-96,-92,-90,-87,-63,24,114.008143637088,0.683297370373792,1.0058985580685,21
2020-04-13,190,10.15,50.1699272505992,38,-96,-96,-85,-91,-92,42,106.337274023867,0.683528456391957,0.994403275893223,21
