date,region,positive,total
20200706,Reggio_Emilia,1,62
20200707,Reggio_Emilia,2,427
20200708,Reggio_Emilia,6,597
20200711,Reggio_Emilia,4,364
20200712,Reggio_Emilia,7,293
20200713,Reggio_Emilia,3,335
20200715,Reggio_Emilia,1,221
20200716,Reggio_Emilia,9,872
20200717,Reggio_Emilia,6,641
20200718,Reggio_Emilia,9,1074
20200719,Reggio_Emilia,11,589
20200720,Reggio_Emilia,6,329
20200721,Reggio_Emilia,3,897
20200722,Reggio_Emilia,3,407
20200723,Reggio_Emilia,2,203
20200724,Reggio_Emilia,12,1143
20200725,Reggio_Emilia,5,683
20200726,Reggio_Emilia,3,154
20200727,Reggio_Emilia,5,732
20200728,Reggio_Emilia,4,1630
20200729,Reggio_Emilia,2,594
20200731,Reggio_Emilia,6,1830
20200801,Reggio_Emilia,12,2231
20200225,Modena,3,91
20200226,Modena,5,44
20200227,Modena,10,91
20200229,Modena,4,15
20200301,Modena,2,7
20200302,Modena,5,18
20200304,Modena,8,31
20200305,Modena,4,10
20200306,Modena,28,41
20200307,Modena,9,30
20200308,Modena,15,65
20200309,Modena,19,52
20200310,Modena,11,44
20200311,Modena,36,200
20200312,Modena,27,125
20200313,Modena,61,229
20200314,Modena,55,181
20200315,Modena,61,273
20200316,Modena,73,177
20200317,Modena,20,69
20200318,Modena,115,184
20200319,Modena,88,368
20200320,Modena,104,332
20200321,Modena,139,729
20200322,Modena,104,416
20200323,Modena,145,470
20200324,Modena,199,644
20200325,Modena,179,1011
20200326,Modena,143,816
20200327,Modena,96,672
20200328,Modena,150,980
20200331,Modena,85,554
20200401,Modena,75,413
20200402,Modena,119,447
20200403,Modena,82,435
20200404,Modena,53,296
20200405,Modena,58,308
20200406,Modena,82,382
20200407,Modena,67,754
20200408,Modena,53,412
20200409,Modena,56,423
20200410,Modena,63,582
20200411,Modena,81,939
20200412,Modena,76,812
20200413,Modena,45,308
20200414,Modena,48,438
20200415,Modena,37,568
20200416,Modena,45,586
20200417,Modena,39,529
20200418,Modena,39,490
20200419,Modena,50,491
20200420,Modena,21,316
20200421,Modena,38,903
20200422,Modena,23,403
20200423,Modena,18,328
20200424,Modena,29,629
20200425,Modena,19,428
20200426,Modena,24,502
20200427,Modena,16,230
20200428,Modena,31,936
20200429,Modena,21,341
20200430,Modena,27,625
20200501,Modena,21,546
20200502,Modena,26,489
20200503,Modena,33,982
20200504,Modena,10,211
20200505,Modena,11,631
20200506,Modena,8,422
20200507,Modena,6,299
20200508,Modena,7,304
20200509,Modena,13,591
20200510,Modena,8,444
20200511,Modena,23,857
20200512,Modena,7,602
20200513,Modena,7,659
20200514,Modena,2,122
20200515,Modena,10,909
20200516,Modena,8,531
20200517,Modena,14,793
20200518,Modena,5,397
20200519,Modena,3,275
20200520,Modena,1,123
20200521,Modena,4,344
20200522,Modena,11,818
20200524,Modena,1,100
20200525,Modena,1,79
20200526,Modena,2,306
20200527,Modena,1,232
20200528,Modena,8,987
20200529,Modena,1,164
20200530,Modena,2,446
20200531,Modena,5,663
20200601,Modena,1,204
20200602,Modena,1,225
20200603,Modena,4,857
20200605,Modena,2,640
20200606,Modena,2,471
20200607,Modena,1,343
20200610,Modena,1,325
20200611,Modena,1,398
20200612,Modena,1,252
20200613,Modena,2,526
20200615,Modena,1,359
20200616,Modena,2,954
20200617,Modena,1,682
20200618,Modena,2,539
20200619,Modena,1,294
20200620,Modena,2,451
20200621,Modena,2,369
20200623,Modena,1,271
20200625,Modena,1,167
20200627,Modena,42,4368
20200629,Modena,3,510
20200701,Modena,4,971
20200702,Modena,1,180
20200703,Modena,2,326
20200704,Modena,3,324
20200705,Modena,7,878
20200706,Modena,5,312
20200707,Modena,3,641
20200708,Modena,3,299
20200709,Modena,1,382
20200710,Modena,9,710
20200711,Modena,4,364
20200712,Modena,20,838
20200713,Modena,2,223
20200714,Modena,3,1133
20200715,Modena,1,221
20200716,Modena,13,1260
20200717,Modena,4,427
20200718,Modena,6,716
20200719,Modena,8,428
20200720,Modena,7,384
20200721,Modena,3,897
20200722,Modena,13,1764
20200723,Modena,6,609
20200724,Modena,12,1143
20200725,Modena,12,1639
20200726,Modena,7,360
20200727,Modena,8,1170
20200728,Modena,1,407
20200729,Modena,5,1485
20200730,Modena,9,2924
20200731,Modena,3,915
20200801,Modena,3,558
20200229,Bologna,2,8
20200302,Bologna,1,4
20200304,Bologna,5,20
20200305,Bologna,8,20
20200306,Bologna,22,32
20200307,Bologna,8,27
20200308,Bologna,13,57
20200309,Bologna,18,49
20200310,Bologna,6,24
20200311,Bologna,22,122
20200312,Bologna,14,65
20200313,Bologna,33,124
20200314,Bologna,40,132
20200315,Bologna,35,157
20200316,Bologna,61,148
20200317,Bologna,42,145
20200318,Bologna,62,99
20200319,Bologna,70,293
20200320,Bologna,87,278
20200321,Bologna,58,304
20200322,Bologna,64,256
20200323,Bologna,159,516
20200324,Bologna,135,437
20200325,Bologna,139,785
20200326,Bologna,146,833
20200327,Bologna,160,1120
20200328,Bologna,173,1130
20200331,Bologna,68,444
20200401,Bologna,144,793
20200402,Bologna,141,529
20200403,Bologna,114,604
20200404,Bologna,90,502
20200405,Bologna,92,488
20200406,Bologna,96,448
20200407,Bologna,39,439
20200408,Bologna,102,792
20200409,Bologna,98,741
20200410,Bologna,98,906
20200411,Bologna,121,1402
20200412,Bologna,122,1303
20200413,Bologna,95,651
20200414,Bologna,28,256
20200415,Bologna,60,921
20200416,Bologna,110,1434
20200417,Bologna,129,1750
20200418,Bologna,60,753
20200419,Bologna,61,600
20200420,Bologna,82,1232
20200421,Bologna,43,1022
20200422,Bologna,52,912
20200423,Bologna,54,985
20200424,Bologna,62,1345
20200425,Bologna,69,1553
20200426,Bologna,54,1130
20200427,Bologna,35,504
20200428,Bologna,72,2174
20200429,Bologna,89,1447
20200430,Bologna,64,1481
20200501,Bologna,42,1092
20200502,Bologna,49,921
20200503,Bologna,43,1280
20200504,Bologna,40,843
20200505,Bologna,29,1664
20200506,Bologna,27,1424
20200507,Bologna,39,1945
20200508,Bologna,35,1522
20200509,Bologna,31,1409
20200510,Bologna,22,1220
20200511,Bologna,11,410
20200512,Bologna,21,1806
20200513,Bologna,21,1976
20200514,Bologna,15,917
20200515,Bologna,12,1090
20200516,Bologna,15,995
20200517,Bologna,12,680
20200518,Bologna,1,79
20200519,Bologna,12,1101
20200520,Bologna,8,986
20200521,Bologna,10,859
20200522,Bologna,9,669
20200523,Bologna,11,1158
20200524,Bologna,11,1099
20200525,Bologna,14,1113
20200526,Bologna,10,1530
20200527,Bologna,2,464
20200528,Bologna,30,3701
20200529,Bologna,8,1308
20200530,Bologna,10,2232
20200531,Bologna,5,663
20200601,Bologna,8,1632
20200602,Bologna,5,1124
20200603,Bologna,2,429
20200604,Bologna,5,1411
20200605,Bologna,2,640
20200606,Bologna,4,941
20200608,Bologna,3,752
20200609,Bologna,4,1450
20200610,Bologna,4,1299
20200611,Bologna,8,3181
20200612,Bologna,14,3529
20200613,Bologna,15,3944
20200614,Bologna,7,2527
20200615,Bologna,5,1793
20200616,Bologna,2,954
20200617,Bologna,5,3409
20200618,Bologna,16,4311
20200619,Bologna,12,3533
20200620,Bologna,9,2030
20200621,Bologna,14,2580
20200622,Bologna,11,1069
20200623,Bologna,5,1355
20200625,Bologna,31,5170
20200626,Bologna,23,2459
20200627,Bologna,28,2912
20200628,Bologna,4,652
20200629,Bologna,6,1020
20200630,Bologna,8,2437
20200701,Bologna,8,1941
20200702,Bologna,14,2521
20200703,Bologna,17,2772
20200704,Bologna,16,1730
20200705,Bologna,8,1004
20200706,Bologna,7,437
20200707,Bologna,5,1069
