region,date,import_status,confirm
Piacenza,2020-07-22,local,2
Piacenza,2020-07-23,local,0
Piacenza,2020-07-24,local,1
Piacenza,2020-07-25,local,7
Piacenza,2020-07-26,local,4
Piacenza,2020-07-27,local,5
Piacenza,2020-07-28,local,0
Piacenza,2020-07-29,local,0
Piacenza,2020-07-30,local,7
Piacenza,2020-07-31,local,5
Piacenza,2020-08-01,local,16
Parma,2020-02-24,local,0
Parma,2020-02-25,local,4
Parma,2020-02-26,local,4
Parma,2020-02-27,local,2
Parma,2020-02-28,local,17
Parma,2020-02-29,local,8
Parma,2020-03-01,local,24
Parma,2020-03-02,local,2
Parma,2020-03-03,local,23
Parma,2020-03-04,local,31
Parma,2020-03-05,local,35
Parma,2020-03-06,local,31
Parma,2020-03-07,local,48
Parma,2020-03-08,local,47
Parma,2020-03-09,local,3
Parma,2020-03-10,local,46
Parma,2020-03-11,local,53
Parma,2020-03-12,local,52
Parma,2020-03-13,local,88
Parma,2020-03-14,local,52
Parma,2020-03-15,local,92
Parma,2020-03-16,local,45
Parma,2020-03-17,local,93
Parma,2020-03-18,local,0
Parma,2020-03-19,local,69
Parma,2020-03-20,local,110
Parma,2020-03-21,local,35
Parma,2020-03-22,local,195
Parma,2020-03-23,local,155
Parma,2020-03-24,local,71
Parma,2020-03-25,local,90
Parma,2020-03-26,local,86
Parma,2020-03-27,local,79
Parma,2020-03-28,local,62
Parma,2020-03-29,local,57
Parma,2020-03-30,local,50
Parma,2020-03-31,local,74
Parma,2020-04-01,local,72
Parma,2020-04-02,local,44
Parma,2020-04-03,local,34
Parma,2020-04-04,local,118
Parma,2020-04-05,local,74
Parma,2020-04-06,local,42
Parma,2020-04-07,local,48
Parma,2020-04-08,local,30
Parma,2020-04-09,local,26
Parma,2020-04-10,local,52
Parma,2020-04-11,local,39
Parma,2020-04-12,local,19
Parma,2020-04-13,local,42
Parma,2020-04-14,local,9
Parma,2020-04-15,local,34
Parma,2020-04-16,local,82
Parma,2020-04-17,local,27
Parma,2020-04-18,local,43
Parma,2020-04-19,local,45
Parma,2020-04-20,local,74
Parma,2020-04-21,local,22
Parma,2020-04-22,local,64
Parma,2020-04-23,local,26
Parma,2020-04-24,local,12
Parma,2020-04-25,local,23
Parma,2020-04-26,local,39
Parma,2020-04-27,local,39
Parma,2020-04-28,local,10
Parma,2020-04-29,local,22
Parma,2020-04-30,local,13
Parma,2020-05-01,local,20
Parma,2020-05-02,local,22
Parma,2020-05-03,local,5
Parma,2020-05-04,local,23
Parma,2020-05-05,local,3
Parma,2020-05-06,local,14
Parma,2020-05-07,local,16
Parma,2020-05-08,local,6
Parma,2020-05-09,local,19
Parma,2020-05-10,local,13
Parma,2020-05-11,local,17
Parma,2020-05-12,local,2
Parma,2020-05-13,local,0
Parma,2020-05-14,local,29
Parma,2020-05-15,local,7
Parma,2020-05-16,local,26
Parma,2020-05-17,local,0
Parma,2020-05-18,local,13
Parma,2020-05-19,local,10
Parma,2020-05-20,local,10
Parma,2020-05-21,local,23
Parma,2020-05-22,local,9
Parma,2020-05-23,local,12
Parma,2020-05-24,local,18
Parma,2020-05-25,local,4
Parma,2020-05-26,local,0
Parma,2020-05-27,local,5
Parma,2020-05-28,local,21
Parma,2020-05-29,local,9
Parma,2020-05-30,local,1
Parma,2020-05-31,local,7
Parma,2020-06-01,local,4
Parma,2020-06-02,local,4
Parma,2020-06-03,local,5
Parma,2020-06-04,local,6
Parma,2020-06-05,local,7
Parma,2020-06-06,local,6
Parma,2020-06-07,local,7
Parma,2020-06-08,local,7
Parma,2020-06-09,local,5
Parma,2020-06-10,local,8
Parma,2020-06-11,local,6
Parma,2020-06-12,local,9
Parma,2020-06-13,local,4
Parma,2020-06-14,local,7
Parma,2020-06-15,local,3
Parma,2020-06-16,local,2
Parma,2020-06-17,local,2
Parma,2020-06-18,local,4
Parma,2020-06-19,local,5
Parma,2020-06-20,local,6
Parma,2020-06-21,local,0
Parma,2020-06-22,local,3
Parma,2020-06-23,local,2
Parma,2020-06-24,local,5
Parma,2020-06-25,local,2
Parma,2020-06-26,local,0
Parma,2020-06-27,local,16
Parma,2020-06-28,local,4
Parma,2020-06-29,local,4
Parma,2020-06-30,local,3
Parma,2020-07-01,local,0
Parma,2020-07-02,local,0
Parma,2020-07-03,local,3
Parma,2020-07-04,local,7
Parma,2020-07-05,local,2
Parma,2020-07-06,local,12
Parma,2020-07-07,local,8
Parma,2020-07-08,local,7
Parma,2020-07-09,local,3
Parma,2020-07-10,local,3
Parma,2020-07-11,local,2
Parma,2020-07-12,local,3
Parma,2020-07-13,local,4
Parma,2020-07-14,local,7
Parma,2020-07-15,local,1
Parma,2020-07-16,local,1
Parma,2020-07-17,local,0
Parma,2020-07-18,local,3
Parma,2020-07-19,local,6
Parma,2020-07-20,local,7
Parma,2020-07-21,local,0
Parma,2020-07-22,local,4
Parma,2020-07-23,local,2
Parma,2020-07-24,local,1
Parma,2020-07-25,local,1
Parma,2020-07-26,local,4
Parma,2020-07-27,local,2
Parma,2020-07-28,local,1
Parma,2020-07-29,local,0
Parma,2020-07-30,local,3
Parma,2020-07-31,local,1
Parma,2020-08-01,local,5
Reggio_Emilia,2020-02-24,local,0
Reggio_Emilia,2020-02-25,local,0
Reggio_Emilia,2020-02-26,local,0
Reggio_Emilia,2020-02-27,local,0
Reggio_Emilia,2020-02-28,local,1
Reggio_Emilia,2020-02-29,local,3
Reggio_Emilia,2020-03-01,local,3
Reggio_Emilia,2020-03-02,local,1
Reggio_Emilia,2020-03-03,local,6
Reggio_Emilia,2020-03-04,local,6
Reggio_Emilia,2020-03-05,local,11
Reggio_Emilia,2020-03-06,local,13
Reggio_Emilia,2020-03-07,local,4
Reggio_Emilia,2020-03-08,local,22
Reggio_Emilia,2020-03-09,local,33
Reggio_Emilia,2020-03-10,local,1
Reggio_Emilia,2020-03-11,local,10
Reggio_Emilia,2020-03-12,local,9
Reggio_Emilia,2020-03-13,local,15
Reggio_Emilia,2020-03-14,local,15
Reggio_Emilia,2020-03-15,local,32
Reggio_Emilia,2020-03-16,local,56
Reggio_Emilia,2020-03-17,local,58
Reggio_Emilia,2020-03-18,local,115
Reggio_Emilia,2020-03-19,local,194
Reggio_Emilia,2020-03-20,local,165
Reggio_Emilia,2020-03-21,local,204
Reggio_Emilia,2020-03-22,local,190
Reggio_Emilia,2020-03-23,local,202
Reggio_Emilia,2020-03-24,local,68
Reggio_Emilia,2020-03-25,local,149
Reggio_Emilia,2020-03-26,local,112
Reggio_Emilia,2020-03-27,local,163
Reggio_Emilia,2020-03-28,local,135
Reggio_Emilia,2020-03-29,local,150
Reggio_Emilia,2020-03-30,local,62
Reggio_Emilia,2020-03-31,local,99
Reggio_Emilia,2020-04-01,local,246
Reggio_Emilia,2020-04-02,local,112
Reggio_Emilia,2020-04-03,local,135
Reggio_Emilia,2020-04-04,local,108
Reggio_Emilia,2020-04-05,local,158
Reggio_Emilia,2020-04-06,local,101
Reggio_Emilia,2020-04-07,local,48
Reggio_Emilia,2020-04-08,local,137
Reggio_Emilia,2020-04-09,local,153
Reggio_Emilia,2020-04-10,local,125
Reggio_Emilia,2020-04-11,local,135
Reggio_Emilia,2020-04-12,local,84
Reggio_Emilia,2020-04-13,local,39
Reggio_Emilia,2020-04-14,local,59
Reggio_Emilia,2020-04-15,local,35
Reggio_Emilia,2020-04-16,local,71
Reggio_Emilia,2020-04-17,local,37
Reggio_Emilia,2020-04-18,local,127
Reggio_Emilia,2020-04-19,local,101
Reggio_Emilia,2020-04-20,local,34
Reggio_Emilia,2020-04-21,local,17
Reggio_Emilia,2020-04-22,local,68
Reggio_Emilia,2020-04-23,local,45
Reggio_Emilia,2020-04-24,local,38
Reggio_Emilia,2020-04-25,local,32
Reggio_Emilia,2020-04-26,local,25
Reggio_Emilia,2020-04-27,local,8
Reggio_Emilia,2020-04-28,local,8
Reggio_Emilia,2020-04-29,local,20
Reggio_Emilia,2020-04-30,local,47
Reggio_Emilia,2020-05-01,local,53
Reggio_Emilia,2020-05-02,local,20
Reggio_Emilia,2020-05-03,local,32
Reggio_Emilia,2020-05-04,local,13
Reggio_Emilia,2020-05-05,local,10
Reggio_Emilia,2020-05-06,local,11
Reggio_Emilia,2020-05-07,local,13
Reggio_Emilia,2020-05-08,local,7
Reggio_Emilia,2020-05-09,local,16
Reggio_Emilia,2020-05-10,local,11
Reggio_Emilia,2020-05-11,local,3
Reggio_Emilia,2020-05-12,local,5
Reggio_Emilia,2020-05-13,local,5
Reggio_Emilia,2020-05-14,local,11
Reggio_Emilia,2020-05-15,local,9
Reggio_Emilia,2020-05-16,local,9
Reggio_Emilia,2020-05-17,local,3
Reggio_Emilia,2020-05-18,local,1
Reggio_Emilia,2020-05-19,local,8
Reggio_Emilia,2020-05-20,local,10
Reggio_Emilia,2020-05-21,local,4
