date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-05-05,7,19.1666666666667,64.7843723508421,21,12,NaN,3,-59,-23,-8,-51,-42,19,3.4473346317954,0.781102981606149,0.786331914739675,Emilia-Romagna
2020-05-06,1,16,79.0896584507017,25,20,33,6,-61,-25,-29,-51,-42,20,3.28710143543947,0.785443374762299,0.806261024271317,Emilia-Romagna
2020-05-07,10,15.75,64.6606118362035,25,13,43,3,-57,-23,4,-50,-41,19,3.13654571776828,0.78878777839612,0.832091305805571,Emilia-Romagna
2020-05-08,2,18.2666666666667,67.4008071314768,30,18,43,6,-58,-17,-10,-53,-41,21,2.99541957650933,0.791792617339664,0.860811794745133,Emilia-Romagna
2020-05-09,12,18.8166666666667,71.1677663142296,30,18,50,3,-65,-21,-18,-54,-41,17,2.86317598062686,0.794800180079988,0.890918576666564,Emilia-Romagna
2020-05-10,1,18.0166666666667,68.348690090418,38,12,47,3,-72,-42,-35,-59,-30,14,2.73886945451737,0.797912431462321,0.922877407003042,Emilia-Romagna
2020-05-11,5,19.5,51.3235132067319,30,10,38,3,-55,-26,-20,-52,-37,17,2.62172052902806,0.800461024064203,0.967156063665785,Emilia-Romagna
2020-05-12,3,19.7,64.0368329532921,13,10,28,3,-54,-21,-6,-49,-37,18,2.51130244442265,0.804690786990607,0.978915134262026,Emilia-Romagna
2020-05-13,2,18.5,77.9198719401734,13,23,NaN,5,-55,-22,1,-48,-36,18,2.4071879540427,0.809311257675788,0.992632408352106,Emilia-Romagna
2020-05-14,4,18.4333333333333,88.0870521984787,17,38,37,3,-53,-20,2,-49,-36,18,2.3092642582225,0.81390562238006,0.998330257840075,Emilia-Romagna
2020-05-15,4,21.55,52.2790900425771,38,26,36,3,-54,-15,-11,-52,-37,19,2.21758513477847,0.820671265505727,1.00131098683259,Emilia-Romagna
2020-05-16,5,17.6,85.2484740964539,21,20,32,3,-64,-19,-42,-55,-35,17,2.13193030928653,0.8272234263366,0.99314524632778,Emilia-Romagna
2020-05-17,5,19.5,75.5806156996475,17,19,37,3,-66,-34,-12,-54,-22,12,2.05230374216824,0.83544241752886,0.953779881622765,Emilia-Romagna
2020-05-18,1,19.3166666666667,80.3932952335044,38,28,30,5,-34,-16,10,-44,-29,12,1.97862790933873,0.841190955966335,0.923837479733114,Emilia-Romagna
2020-05-19,5,19.0666666666667,82.9750150776389,50,29,37,3,-38,-17,-3,-46,-30,14,1.91074101648071,0.847619816749502,0.85930942313046,Emilia-Romagna
2020-05-20,4,18.75,72.8705020973513,46,20,36,3,-39,-17,-10,-46,-31,15,1.84802098381304,0.856010702827738,0.80449311323035,Emilia-Romagna
2020-05-21,6,19.0666666666667,61.1012077613048,38,14,41,3,-30,-14,49,-41,-29,12,1.78981375271531,0.864348799719826,0.745455321114497,Emilia-Romagna
2020-05-22,9,20.5,67.2378029944448,30,16,47,5,-32,-6,42,-41,-29,13,1.73618139904788,0.873881872756301,0.715639306877058,Emilia-Romagna
2020-05-23,12,23.4333333333333,60.1261504615639,42,19,42,3,-35,-10,48,-36,-21,7,1.68720434661931,0.884174787153646,0.68196822612562,Emilia-Romagna
2020-05-24,0,20,65.2548876258696,38,13,41,3,-41,-17,7,-43,-6,7,1.64288617572629,0.893192470907087,0.642738668901078,Emilia-Romagna
2020-05-25,4,19.25,66.6610161412071,17,10,40,4,-26,-13,40,-39,-26,10,1.60321350171779,0.903802814250582,0.629596197467308,Emilia-Romagna
2020-05-26,4,18.8666666666667,51.4616265650749,13,19,34,3,-27,-11,44,-39,-26,11,1.56779164159491,0.914856206638569,0.608509453800815,Emilia-Romagna
2020-05-27,3,18.85,47.3019180019459,13,14,36,5,-26,-11,55,-35,-25,10,1.53636395385571,0.926194880085193,0.61757736764551,Emilia-Romagna
2020-05-28,5,19.6666666666667,49.2298117473061,13,12,43,4,-26,-11,41,-38,-26,11,1.50893475413346,0.936820143366855,0.642417140831873,Emilia-Romagna
2020-05-29,2,14.2,79.8025795330335,21,10,35,3,-35,-9,-17,-48,-29,15,1.48543538776253,0.947961177871622,0.674262711911149,Emilia-Romagna
2020-05-30,2,16.8833333333333,65.7668291759686,13,10,40,3,-27,-4,63,-27,-14,6,1.46557807700868,0.959150074201325,0.731555305944375,Emilia-Romagna
2020-05-31,0,17.25,67.0701837615023,13,8,36,3,-29,-4,37,-33,6,5,1.44917296559174,0.971118116543743,0.792547415400196,Emilia-Romagna
2020-06-01,0,18,62.2764073291174,13,11,35,3,1,7,138,-30,-32,8,1.43618698945914,0.982052120289179,0.875011239107002,Emilia-Romagna
2020-06-02,2,22.1833333333333,49.8232313618723,13,8,41,3,-9,-44,207,-37,-62,13,1.42662975475094,0.9918744922825,0.913508275185947,Emilia-Romagna
2020-06-03,0,22.5,56.1870499556826,13,10,43,3,-20,-2,60,-22,-22,7,1.42036825636304,1.00357796339289,0.961174972841025,Emilia-Romagna
2020-06-04,0,19.8833333333333,64.1217357973679,13,10,36,3,-25,-6,5,-29,-25,10,1.41700475030341,1.012552327394,1.00382774005171,Emilia-Romagna
2020-06-05,2,19.5,70.7138218401073,13,10,37,3,-16,-3,49,-27,-24,9,1.41653903238678,1.02313865023938,0.990410186053034,Emilia-Romagna
2020-06-06,1,20.5,74.6092807666174,13,14,40,3,-16,-7,71,-16,-10,2,1.4188842216476,1.0305620058334,0.979256826161728,Emilia-Romagna
2020-06-07,1,23.5,56.6595553468388,13,11,30,3,-21,-6,22,-22,16,0,1.42389772968803,1.03886102577919,1.00269126232921,Emilia-Romagna
2020-06-08,1,19,80.2069054721378,13,15,29,3,-18,-6,9,-29,-23,8,1.43133024301781,1.04529818967726,1.0001791505814,Emilia-Romagna
2020-06-09,3,17.75,80.3050865428883,13,16,32,3,-15,-8,28,-28,-22,8,1.44098034157379,1.0520579599496,1.01045798548038,Emilia-Romagna
2020-06-10,1,17.0166666666667,75.4036093888534,17,13,29,3,-15,-6,28,-25,-23,8,1.45260346997595,1.06032902980627,1.07159805298171,Emilia-Romagna
2020-06-11,2,16.5,80.0144733902695,21,15,35,3,-10,-4,38,-28,-25,8,1.46604119864764,1.06519708588328,1.09962865396333,Emilia-Romagna
2020-06-12,1,20.5,60.3319761865495,25,14,39,4,-3,-2,89,-19,-22,4,1.48150146830633,1.06987321358408,1.14395125943959,Emilia-Romagna
2020-06-13,0,23,59.1827964685011,25,15,32,3,-10,-2,72,-12,-9,1,1.49879048550644,1.07338234729873,1.18063442333134,Emilia-Romagna
2020-06-14,0,20.5,67.4520896398738,21,7,32,3,-11,7,37,-7,18,0,1.51759122638479,1.07601660495509,1.19766890464714,Emilia-Romagna
2020-06-15,0,20,84.9555938525775,13,9,34,3,-6,-1,46,-23,-19,6,1.53769477064698,1.07584532901373,1.19960451304552,Emilia-Romagna
2020-06-16,1,21.4333333333333,77.4217124716086,13,9,39,4,-1,-4,94,-19,-18,4,1.55884123984808,1.07817842029197,1.17863960342647,Emilia-Romagna
2020-06-17,1,20.75,78.602187979923,21,13,36,3,-3,-4,77,-17,-18,5,1.58054430506666,1.0783352987922,1.1889375993967,Emilia-Romagna
2020-06-18,2,22.75,48.0136170549856,21,10,34,3,1,-7,99,-14,-18,3,1.60280709612555,1.07971435371703,1.18416124376938,Emilia-Romagna
2020-06-19,2,22.75,50.5443797369132,21,13,35,3,6,3,121,-8,-19,3,1.62573073776975,1.07776842783294,1.14968661308857,Emilia-Romagna
2020-06-20,4,21.05,62.3120464462154,17,11,45,3,2,-2,111,10,-3,-3,1.64925989627034,1.07940607470949,1.18076688004396,Emilia-Romagna
2020-06-21,1,23.5666666666667,59.0204427631129,13,10,48,3,-4,5,45,5,29,-5,1.67297514489451,1.07784762868239,1.16193926449766,Emilia-Romagna
2020-06-22,0,24.25,52.9117724213762,21,12,53,6,8,0,114,-10,-17,2,1.696957936979,1.07722439886803,1.16260888353431,Emilia-Romagna
2020-06-23,0,25.7,46.5321085254113,17,13,44,3,8,-3,129,-12,-18,2,1.72127323068998,1.07596076308656,1.14812177892768,Emilia-Romagna
2020-06-24,0,24.25,62.5083022204521,30,21,50,4,10,1,143,-2,-16,2,1.74574322060365,1.07409660819601,1.10403207571973,Emilia-Romagna
2020-06-25,1,23.5666666666667,71.2682409480133,34,23,48,8,11,0,137,-4,-16,2,1.7702702236914,1.07205555910084,1.10147996539888,Emilia-Romagna
2020-06-26,0,24,73.9134990776148,46,18,47,17,15,3,163,6,-17,1,1.79466028265153,1.06746505822353,1.06915141134117,Emilia-Romagna
2020-06-27,10,25.5,63.3714857721532,38,18,50,5,10,2,143,21,-3,-5,1.81869692321382,1.06566662894592,1.07443241893238,Emilia-Romagna
2020-06-28,3,26.4333333333333,63.9488261256268,25,20,66,4,3,9,57,23,41,-8,1.84190171507246,1.06391774601375,1.06493562341824,Emilia-Romagna
2020-06-29,0,29.25,41.3543051717315,30,13,46,NaN,17,6,121,2,-14,1,1.86422595567862,1.06246406572249,1.13025476427882,Emilia-Romagna
2020-06-30,1,27.5333333333333,58.9028331296049,17,12,41,NaN,14,0,123,-5,-12,0,1.88600841737722,1.06113928589005,1.17913328495433,Emilia-Romagna
2020-07-01,1,27.1,57.390912148971,21,14,42,4,17,4,139,1,-12,0,1.90741979344759,1.05790669716646,1.19133095536307,Emilia-Romagna
2020-07-02,1,26.0833333333333,73.9377895417271,25,19,45,3,17,0,129,3,-13,0,1.92851180329151,1.05412196108342,1.1774818763525,Emilia-Romagna
2020-07-03,0,23.25,80.9624038440837,38,18,45,3,16,9,118,12,-16,3,1.94901478058166,1.04917149847369,1.17235003922905,Emilia-Romagna
2020-07-04,1,23.25,67.1790226427536,38,16,38,3,18,8,129,37,0,-3,1.96845228299586,1.04469438980082,1.15026435378355,Emilia-Romagna
2020-07-05,0,25.3833333333333,55.6197398403719,17,14,44,3,10,14,53,35,43,-8,1.98638893135004,1.04219711858755,1.10353302748408,Emilia-Romagna
2020-07-06,2,26.65,58.9703297096863,25,14,59,3,25,8,160,17,-11,-1,2.00275513457948,1.03825324218991,1.07651647631626,Emilia-Romagna
2020-07-07,7,21.8333333333333,62.5839778063443,42,28,42,3,30,12,182,7,-14,2,2.0180949964648,1.03316349056886,1.08473277558451,Emilia-Romagna
2020-07-08,7,22.25,56.4194224927506,13,12,41,3,24,2,183,10,-10,-1,2.03256762655027,1.0319915588695,1.06684527132678,Emilia-Romagna
2020-07-09,1,23.75,62.7599861803807,21,14,46,3,24,4,157,9,-11,-1,2.0457012948158,1.02793043680517,1.12345152107021,Emilia-Romagna
2020-07-10,1,25.75,65.7252642065725,25,14,51,3,29,9,179,20,-13,-1,2.05783935969549,1.02161861492962,1.17183654689467,Emilia-Romagna
2020-07-11,2,26.3833333333333,65.7741103940899,30,20,51,3,14,4,103,36,5,-4,2.06915658872034,1.0193629762543,1.23288580642998,Emilia-Romagna
2020-07-12,2,23,52.877829587128,50,13,40,3,22,36,81,53,46,-5,2.07887853816237,1.01669010649526,1.30373653717591,Emilia-Romagna
2020-07-13,1,22.85,42.6680815099088,13,12,39,3,35,11,172,19,-9,-1,2.08721186825035,1.01064250876208,1.36365182614534,Emilia-Romagna
2020-07-14,1,22.25,55.0830229896143,21,17,41,3,34,8,191,9,-10,-1,2.09475293038248,1.00816003686756,1.4339535955488,Emilia-Romagna
2020-07-15,3,21.5,66.2973620543979,25,15,42,3,32,14,183,13,-9,0,2.10102880703805,1.00520165106625,1.4290717037152,Emilia-Romagna
2020-07-16,0,23.6,65.1223258214051,21,17,52,4,34,8,182,15,-9,-1,2.1061524757249,1.00326079937476,1.45502840045079,Emilia-Romagna
2020-07-17,0,20.8666666666667,82.7428412071906,46,15,41,3,41,22,192,33,-15,3,2.11071898888258,1.00334995495386,1.43674654713564,Emilia-Romagna
2020-07-18,1,21.5,56.7251873463908,34,10,36,3,31,12,166,62,8,-5,2.11516411474662,1.00253119846283,1.38361678053181,Emilia-Romagna
2020-07-19,0,23,52.6450878301755,13,8,38,3,23,30,82,62,57,-9,2.12015360593334,1.00326509916503,1.34347054632897,Emilia-Romagna
2020-07-20,3,24.5,59.8352335149284,13,13,54,5,42,17,205,30,-6,-1,2.12602335143532,1.00615048648928,1.29266833495407,Emilia-Romagna
2020-07-21,4,25.5,68.3995262883887,25,13,51,8,39,13,215,14,-6,-1,2.13308631457186,1.00552950241861,1.27041029209748,Emilia-Romagna
2020-07-22,10,27.25,64.542144409975,34,19,70,7,38,12,220,21,-7,-1,2.14210720607936,1.00662207948838,1.23506491832306,Emilia-Romagna
2020-07-23,11,25,71.6669237030318,55,16,49,4,39,14,203,17,-8,-1,2.15300449561436,1.00649395140733,NaN,Emilia-Romagna
2020-07-24,8,21.2833333333333,84.6203838063184,30,14,39,5,37,26,187,31,-14,4,2.1655069048013,1.00742990934725,NaN,Emilia-Romagna
2020-07-25,3,24,54.4888505081174,21,9,42,3,29,12,168,64,11,-6,2.17970063126723,1.00851366862086,NaN,Emilia-Romagna
2020-07-26,5,25.5,63.718839751314,13,17,46,4,24,36,83,63,60,-9,2.19587854266585,1.00777159451359,NaN,Emilia-Romagna
2020-07-27,4,26.5,63.6126193294695,25,19,47,5,47,20,211,31,-9,-2,2.21421582220209,1.00835771156853,NaN,Emilia-Romagna
2020-07-28,9,27.05,63.6245514595168,30,15,50,6,43,15,215,15,-11,-1,2.23428352276775,1.0092367772179,NaN,Emilia-Romagna
2020-07-29,4,26.7833333333333,78.6218852379017,34,20,53,6,39,14,220,21,-7,-1,2.2560212399049,1.00916758382742,NaN,Emilia-Romagna
2020-07-30,6,28.25,65.4430575843054,50,20,53,6,38,10,187,19,-8,-1,2.28008493206262,1.00965039455669,NaN,Emilia-Romagna
2020-07-31,4,28.7666666666667,62.9466184401512,55,30,66,7,35,15,178,30,-10,-1,2.30668484080214,1.00916153523606,NaN,Emilia-Romagna
2020-08-01,2,28.75,60.5273509735035,61,NaN,NaN,NaN,21,11,138,59,10,-5,2.33583053884657,1.00850647707366,NaN,Emilia-Romagna
