date,daily_cases,med_temp,med_hum,pm25,pm10,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,state
2020-06-03,5,18.7,78.6338838024193,63,15,13,-32,-15,-17,-60,-33,13,7.59598468251309,0.881307352156064,0.985825798285411,Lombardia
2020-06-04,6,15.1666666666667,96.9044727450284,61,14,18,-39,-21,-68,-69,-35,16,7.42711376854079,0.872347898926539,0.985413271066603,Lombardia
2020-06-05,28,19.5,72.8227814005221,50,8,21,-21,-10,31,-61,-33,12,7.25214086764788,0.86497574512966,0.994768212582747,Lombardia
2020-06-06,3,20.2666666666667,69.6896620787195,21,14,16,-24,-17,13,-55,-20,7,7.07054440402781,0.857374328837908,0.989631474067666,Lombardia
2020-06-07,19,15,93.7785536393515,53,13,12,-49,-36,-81,-75,-12,10,6.88197857626882,0.850536711058469,0.982092389623736,Lombardia
2020-06-08,7,15,93.3633013381114,46,10,18,-27,-20,-42,-66,-33,13,6.68755070175822,0.846547933989553,0.974390492591907,Lombardia
2020-06-09,14,15,87.9398770779913,30,10,14,-21,-16,-16,-62,-31,12,6.48872785584384,0.843675212388142,0.949363280016739,Lombardia
2020-06-10,10,17.5,77.3076070130464,25,9,14,-22,-14,-24,-60,-31,12,6.28858550892823,0.840266092054894,0.92041427207976,Lombardia
2020-06-11,12,15.75,93.8004679355337,30,10,27,-19,-11,-38,-63,-35,13,6.09017526720527,0.838520609545081,0.883461629685858,Lombardia
2020-06-12,14,18,76.4623343499999,46,18,19,-19,-9,7,-62,-33,11,5.89430867508879,0.834870298496016,0.842477262812022,Lombardia
2020-06-13,5,17.25,85.3259005194831,59,10,13,-22,-17,17,-54,-17,6,5.70141819421156,0.833573814700373,0.77977510584074,Lombardia
2020-06-14,27,19.75,77.9127360910949,42,5,13,-16,-22,38,-55,5,2,5.51148971681097,0.835298024163031,0.745135347104455,Lombardia
2020-06-15,19,19,78.076375682522,21,10,22,-19,-17,14,-58,-30,10,5.32528708377596,0.835757354068512,0.723950207357694,Lombardia
2020-06-16,22,18.75,78.0818037587679,38,15,29,-15,-12,15,-54,-29,10,5.14541553845019,0.837345533881091,0.700800065955222,Lombardia
2020-06-17,6,17.1,88.1011015877247,53,13,17,-18,-11,-22,-56,-30,11,4.97280226850196,0.841462177203287,0.695005110216195,Lombardia
2020-06-18,13,18.0666666666667,78.816488809966,42,7,13,-17,-14,15,-55,-30,10,4.80735695964504,0.845279368219596,0.686962491381671,Lombardia
