date, pm25, pm10, no2
2018-12-30,155,60,33
2018-12-31,156, , 
2018-07-02,55,21, 
2018-07-03,42,30, 
2018-07-04,76,14,12
2018-07-05,38,14,11
2018-07-06,42,16,14
2018-07-07,53,16,15
2018-07-08,46,13,21
2018-07-09,34,14,9
2018-07-10,30,19,12
2018-07-11,38,16,9
2018-07-12,53,26,17
2018-07-13,57,25,15
2018-07-14,61,30,8
2018-07-15,65,19,10
2018-07-16,46,14,8
2018-07-17,53,27,20
2018-07-18,38,24,17
2018-07-19,50,21,28
2018-07-20,55,31,25
2018-07-21,78,12,10
2018-07-22,25,17,12
2018-07-23,55,12,16
2018-07-24,38,13,17
2018-07-25,46,19,21
2018-07-26,55,40,18
2018-07-27,78,36,19
2018-07-28,59,31,19
2018-07-29,78,20,13
2018-07-30,70,26,25
2018-07-31,85,31,21
2018-08-01,80,37,23
2018-08-02,82,20,26
2018-08-03,55,15,19
2018-08-04,53,17,17
2018-08-05,59,30,14
2018-08-06,74,29,16
2018-08-07,76,20,18
2018-08-08,55,24,15
2018-08-09,61,29,15
2018-08-10,74,20,15
2018-08-11,63,22,13
2018-08-12,57,16,11
2018-08-13,38,20,11
2018-08-14,55,17,10
2018-08-15,46,10,11
2018-08-16,30,11,12
2018-08-17,17,20,17
2018-08-18,42,22,17
2018-08-19,50,23,17
2018-08-20,13,22,23
2018-08-21,99,25,17
2018-08-22,178,30,25
2018-08-23,50,35,17
2018-08-24,63,26,17
2018-08-25,50,15,9
2018-08-26,38,7,7
2018-08-27,21,9,19
2018-08-28,21,20,25
2018-08-29,50,25,26
2018-08-30,59,30,19
2018-08-31,65,23,11
2018-09-01,74,10,9
2018-09-02,21,9,14
2018-09-03,34,11,10
2018-09-04,34,16,15
2018-09-05,42,20,30
2018-09-06,42,31,20
2018-09-07,74,25,22
2018-09-08,57,26,14
2018-09-09,65,24,29
2018-09-10,61,32,28
2018-09-11,68,40,25
2018-09-12,87,53,35
2018-09-13,114,52,16
2018-09-14,97,35,13
2018-09-15,76,30,17
2018-09-16,63,30,15
2018-09-17,74,33,14
2018-09-18,63,30,33
2018-09-19,65,33,31
2018-09-20,72,37,40
2018-09-21,78,44,46
2018-09-22,89,37,17
2018-09-23,61,23,12
2018-09-24,34,26,10
2018-09-25,53,14,11
2018-09-26,25,17,27
2018-09-27,25,31,36
2018-09-28,53,43,53
2018-09-29,68,37,32
2018-09-30,65,21,18
2018-10-01,25,20,14
2018-04-02,30,12,12
2018-04-03,38,25,21
2018-04-04,53,18,23
2018-04-05,50,26,19
2018-04-06,70,34,20
2018-04-07,85,30,16
2018-04-08,74,18,11
2018-04-09,46,16,13
2018-04-10,38,19,17
2018-04-11,50,19,17
2018-04-12,42,18,18
2018-04-13,46,15,33
2018-04-14,38,21,26
2018-04-15,55,28,14
2018-04-16,61,26,25
2018-04-17,46,46,20
2018-04-18,74,27,18
2018-04-19,53,23,38
2018-04-20,57,29,28
2018-04-21,59,30,17
2018-04-22,65,21,17
2018-04-23,57,32,14
2018-04-24,74,37,18
2018-04-25,72,30,12
2018-04-26,57,30,16
2018-04-27,57,26,14
2018-04-28,34,28,15
2018-04-29,53,31,9
2018-04-30,65,10,5
2018-05-01,21,9,7
2018-05-02,17,10,13
2018-05-03,17,20,17
2018-05-04,30,25,25
2018-05-05,38,29,17
2018-05-06,59,27,16
2018-05-07,55,26,14
2018-05-08,50,25,10
2018-05-09,42,20,11
2018-05-10,53,15,8
2018-05-11,50,20,14
2018-05-12,57,22,10
2018-05-13,57,15,8
2018-05-14,46,7,10
2018-05-15,13,8,18
2018-05-16,13,17,16
2018-05-17,34,13,24
2018-05-18,42,20,18
2018-05-19,55,20,14
2018-05-20,59,12,10
2018-05-21,38,20,17
2018-05-22,53,20,20
2018-05-23,25,20,20
2018-05-24,46,22,12
2018-05-25,55,23,14
2018-05-26,59,32,27
2018-05-27,78,35,13
2018-05-28,85,20,15
2018-05-29,53,23,10
2018-05-30,53,34,14
2018-05-31,63,30,7
2018-06-01,57,22,10
2018-06-02,25,18,11
2018-06-03,38,21,11
2018-06-04,38,20,15
2018-06-05,59,20,8
2018-06-06,55,18,9
2018-06-07,55,16,9
2018-06-08,46,10,11
2018-06-09,42,13,6
2018-06-10,42,17,11
2018-06-11,55,29,15
2018-06-12,68,27,19
2018-06-13,59,14,10
2018-06-14,46,10,10
2018-06-15,25,11,9
2018-06-16,30,18,18
2018-06-17,34,23,14
2018-06-18,57,19,17
2018-06-19,53,20, 
2018-06-20,53,20, 
2018-06-21,46,23, 
2018-06-22,55,19, 
2018-06-23,42,14, 
2018-06-24,21,13, 
2018-06-25,25,14, 
2018-06-26,30,9, 
2018-06-27,13,18, 
2018-06-28,34,11, 
2018-06-29,25,20, 
2018-06-30,30,21, 
2018-07-01,38,23, 
2018-01-06,104,47,13
2018-01-07,122,37,12
2018-01-08,80,32,13
2018-01-09,57,26,11
2018-01-10,53,28,15
2018-01-11,68,36,14
2018-01-12,89,39,28
2018-01-13,82,43,17
