date,pm25,pm10,o3,so2
2019-08-30,57,13,15,8
2019-08-31,42,18,29,5
2019-09-01,53,16,14,9
2019-09-02,55,9,16,9
2019-09-03,21,5,18,5
2019-09-04,17,10,18,8
2019-09-05,34,12,20,9
2019-09-06,34,9,18,9
2019-09-07,21,7,3,11
2019-09-08,21,4,15,5
2019-09-09,9,5,1,8
2019-09-10,17,9,14,6
2019-09-11,30,11,14,7
2019-09-12,34,11,12,10
2019-09-13,38,15,17,8
2019-09-14,42,19,18,9
2019-09-15,55,20,24,9
2019-09-16,61,25,18,8
2019-09-17,61,30,25,7
2019-09-19,38,12,21,11
2019-09-20,30,14,19,11
2019-09-21,25,13,19,10
2019-09-22,38,14, ,17
2019-09-23,42,12,12,9
2019-09-24,38,6,20,6
2019-09-25,17,9,11,7
2019-09-26,25,8,8,5
2019-09-27,21,11,3,8
2019-09-28,34,17,16,5
2019-09-29,53,15,18,6
2019-09-30,50, ,20,11
2019-04-03,63,17,29,9
2019-04-04,57,9,29,8
2019-04-05,30,4,22,9
2019-04-06,17,11,26,5
2019-04-07,42,8,20,5
2019-04-08,30,10, , 
2019-04-09,34,10,1,12
2019-04-10,38,10, , 
2019-04-11,38,10,29,10
2019-04-12,38,11,12,10
2019-04-13,42,11,17,8
2019-04-14,46,9,16,9
2019-04-15,34,10,24,5
2019-04-16,34,13,18,10
2019-04-17,50,15,45,6
2019-04-18,50,20,26,13
2019-04-19,57,15,25,11
2019-04-20,50,14,28,10
2019-04-21,46,13,23,11
2019-04-22,42,16,33,7
2019-04-23,46,17,28,9
2019-04-24,55,14,26,10
2019-04-25,34,12,12,10
2019-04-26,30,10,20,6
2019-04-27,21,4,18,10
2019-04-28,13,3,15,9
2019-04-29,9,4,31,2
2019-04-30,13,8,26,8
2019-05-01,25,11,29,8
2019-05-02,30,16,27,8
2019-05-03,38,7,50,3
2019-05-04,25,5,24,10
2019-05-05,17,2,15,9
2019-05-06,9,4,32,2
2019-05-07,17,11,37,1
2019-05-08,38,19,30,9
2019-05-09,53,7,16,15
2019-05-10,25,13,21,10
2019-05-11,38,13,27,9
2019-05-12,42,2,17,13
2019-05-13,9,3,24,4
2019-05-14,13,8,36,2
2019-05-15,21,16,43,1
2019-05-16,30,13,28,7
2019-05-17,30,10,31,6
2019-05-18,38,14,25,7
2019-05-19,42,6,14,10
2019-05-20,21,10,17,6
2019-05-21,30,10,13,11
2019-05-22,21,10,6,11
2019-05-23,21,13,15,7
2019-05-24,30,15,24,11
2019-05-25,42,13,34,6
2019-05-26,46,8,24,6
2019-05-27,25,10,14,10
2019-05-28,34,6,7,9
2019-05-29,21,3,14,5
2019-05-30,9,5,32,1
2019-05-31,17,8,30,7
2019-06-01,25,9,30,6
2019-06-02,25,12,20,8
2019-06-03,34, ,29,5
2019-06-05,53,21,31,6
2019-06-06,61,19, ,5
2019-06-07,59,17,44,3
2019-06-08,57,20,34,5
2019-06-09,70,22,37,10
2019-06-10,61,22,37,8
2019-06-11,53,30,28,6
2019-06-12,57,30,21,9
2019-06-13,59,24,25,4
2019-06-15,30,26,31,7
2019-06-16,59,21,39,8
2019-06-17,50,12,33,7
2019-06-18,34,18,35,3
2019-06-19,46,17,38,5
2019-06-20,50,14,40,5
2019-06-21,42,17,47,3
2019-06-22,42,12,32,5
2019-06-23,30,9,16,9
2019-06-24,21,18,19,5
2019-06-25,50,27,29,4
2019-06-26,68,34,48,5
2019-06-27,78,42,41,5
2019-06-28,80,36,57,6
2019-06-29,70,21,31,13
2019-06-30,57,26,44,8
2019-07-01,70,29,44,10
2019-03-02,57,10, , 
2019-03-03,25,14,26,6
2019-03-04,50,22,19,15
2019-03-05,65,8,19,8
2019-03-06,21,18,17,11
2019-03-07,50,25,15,17
2019-03-08,65,18,30,15
2019-03-09,53,15,18,9
2019-03-10,50,16,18,12
2019-03-11,53,6,36,6
2019-03-12,17,7,26,6
2019-03-13,17,12,19,10
2019-03-14,34,12,19,13
2019-03-15,34,8,26,5
2019-03-16,25,11,12,11
2019-03-17,34,23,19,10
2019-03-18,65,3,36,3
2019-03-19,5,4,31,4
2019-03-20,5,10,26,9
2019-03-21,21,16,36,6
2019-03-22,42,18,20,11
2019-03-23,46,16,20,13
2019-03-24,46,15,29,7
2019-03-25,46,14,28,8
2019-03-26,34,6,39,2
2019-03-27,9,10,32,6
2019-03-28,25,17,24,10
2019-03-29,42,17,6,9
2019-03-30,50,20,27,9
2019-03-31,61, ,11,13
2018-10-02,34,7,4,21
2018-10-03,5,10, ,19
2018-10-04,21,10,1,14
2018-10-05,21,13,1,21
2018-10-06,38,15,1,15
2018-10-07,50,12,1,11
2018-10-08,42,13, ,17
2018-10-09,38,12,2,15
2018-10-10,38,17,10,9
2018-10-11,50,24, ,17
2018-10-12,65,21,1,21
2018-10-13,63,21,1,18
2018-10-14,57,21,1,16
2018-10-15,59,33,6,17
2018-10-16,72,30, ,17
2018-10-17,72, ,4,16
2018-10-19,61,22, ,20
2018-10-20,55,25, ,17
2018-10-21,57,19,13,11
2018-10-22,46,18,1,22
2018-10-23,46,20, ,18
2018-10-24,59,12,14,10
2018-10-25,25,17,4,23
2018-10-26,42,32, ,22
2018-10-27,61,20,2,19
2018-10-28,57,4,5,16
2018-10-29,13,8, ,20
2018-10-30,21,5,7,15
2018-10-31,5,11, ,13
2018-11-01,34,11, ,11
2018-11-02,34,14, ,14
2018-11-03,42,15, ,10
2018-11-04,50,15,1,7
2018-11-05,53,17, ,11
2018-11-06,50,16, ,13
2018-11-07,53,14, ,12
2018-11-08,50,18, ,11
2018-11-09,57,21, ,12
2018-11-10,61,19, ,11
2018-11-11,57,19, ,10
2018-11-12,61,15,6,7
2018-11-13,53,19,2,11
2018-11-14,38,18,2,9
2018-11-15,38,17,2,10
2018-11-16,42,23, ,19
2018-11-17,63,22,4,11
2018-11-18,65,18,4,10
2018-11-19,59,30,2,13
2018-11-20,82,17,4,14
2018-11-21,59,16,4, 
2018-11-22,53,22,1,14
2018-11-23,61,23,1,16
2018-11-24,70,11,3,13
2018-11-25,38,13,2,9
2018-11-26,50,12,3,9
2018-11-27,42, ,10,7
2018-07-02,61,20,40,5
2018-07-03,55,19,14,10
2018-07-04,50,9,11,10
2018-07-05,30,10,17,9
2018-07-06,34,5,11,12
2018-07-07,5,6,29,5
2018-07-08,5,8,37,3
2018-07-09,25,12,42,8
2018-07-10,38,17,22,12
2018-07-11,55,10,33,6
2018-07-12,42,11,23,8
2018-07-13,50,11,35,5
2018-07-14,50,11,37,4
2018-07-15,50,8,30,4
2018-07-16,17,10,35,7
2018-07-17,42,10,34,7
2018-07-18,30, ,39,10
