date, pm25, pm10, no2
2019-08-19,46,25,27
2019-08-20,58,28,39
2019-08-21,59,30,28
2019-08-22,53,28,16
2019-08-23,55,33,35
2019-08-24,67,27,23
2019-08-25,55,25,21
2019-08-26,59,30,25
2019-08-27,64,34,27
2019-08-28,63,36,28
2019-08-29,65,39,24
2019-08-30,64,41,27
2019-08-31,70,41,31
2019-09-01,74,34,24
2019-09-02,64,30,27
2019-09-03,59,29,22
2019-09-04,58,24,12
2019-09-05,46,23,23
2019-09-06,41,30,30
2019-09-07,54,27,26
2019-09-08,49,23,26
2019-09-09,46,21,21
2019-09-10,33,28,42
2019-09-11,43,31,34
2019-09-12,38,33,31
2019-09-13,52,47,25
2019-09-14,63,36,20
2019-09-15,51,25,27
2019-09-16,43,36,38
2019-09-17,59,32,31
2019-09-18,56,32,36
2019-09-19,70,29,33
2019-09-20,58,35,15
2019-09-21,51,28,28
2019-09-22,45,31,30
2019-09-23,54,33,26
2019-09-24,56,28,21
2019-09-25,38,27,27
2019-09-26,39,27,29
2019-09-27,48,31,34
2019-09-28,51,33,33
2019-09-29,48,24,27
2019-09-30,40,27,31
2019-10-01,47,28,30
2019-04-02,112,36,38
2019-04-03,76,25,39
2019-04-04,53,34,37
2019-04-05,59,24,29
2019-04-06,37,31,40
2019-04-07,55,22,25
2019-04-08,28,21,28
2019-04-09,32,23,25
2019-04-10,35,43,38
2019-04-11,55,20,32
2019-04-12,32,17,33
2019-04-13,40,18,24
2019-04-14,41,29,33
2019-04-15,59,22,18
2019-04-16,42,26,37
2019-04-17,59,34,41
2019-04-18,61,37,48
2019-04-19,72,29,37
2019-04-20,52,25,42
2019-04-21,55,24,22
2019-04-22,48,39,27
2019-04-23,61,65,37
2019-04-24,71,65,27
2019-04-25,100,65,47
2019-04-26,90,88,46
2019-04-27,109,59,23
2019-04-28,48,32,21
2019-04-29,41,30,29
2019-04-30,42,25,37
2019-05-01,49,24,34
2019-05-02,49,28,40
2019-05-03,57,23,37
2019-05-04,48,22,30
2019-05-05,51,22,22
2019-05-06,38,19,31
2019-05-07,29,18,25
2019-05-08,40,27,43
2019-05-09,74,34,39
2019-05-10,60,39,41
2019-05-11,62,33,40
2019-05-12,66,28,27
2019-05-13,60,21,30
2019-05-14,51,15,13
2019-05-15,41,16,29
2019-05-16,40,14,13
2019-05-17,30,23,27
2019-05-18,64,29,24
2019-05-19,47,28,19
2019-05-20,45,21,21
2019-05-21,64,21,22
2019-05-22,30,22,24
2019-05-23,32,24,28
2019-05-24,38,27,30
2019-05-25,49,27,31
2019-05-26,45,21,22
2019-05-27,36,22,25
2019-05-28,30,16,19
2019-05-29,27,23,21
2019-05-30,30,30,26
2019-05-31,39,20,28
2019-06-01,34,18,17
2019-06-02,26,17,20
2019-06-03,33,26,32
2019-06-04,50,29,28
2019-06-05,51,27,26
2019-06-06,46,35,35
2019-06-07,59,36,39
2019-06-08,61,42,36
2019-06-09,65,49,37
2019-06-10,69,57,45
2019-06-11,83,57,40
2019-06-12,82,58,35
2019-06-13,76,54,30
2019-06-14,62,53,46
2019-06-15,82,54,29
2019-06-16,75,48,19
2019-06-17,49,31,26
2019-06-18,49,32,27
2019-06-19,60,29,26
2019-06-20,45,28,28
2019-06-21,46,31,34
2019-06-22,59,37,32
2019-06-23,52,41,26
2019-06-24,48,39,33
2019-06-25,61,23,14
2019-06-26,36,23,14
2019-06-27,40,28,27
2019-06-28,57,34,45
2019-06-29,59,30,12
2019-06-30,45,25,26
2019-07-01,40,29,43
2019-02-06,39,16,16
2019-02-07,38,30,15
2019-02-08,59,51,32
2019-02-09,98,46,50
2019-02-10,99,26,42
2019-02-11,53,28,32
2019-02-12,57,12,27
2019-02-13,35,10,20
2019-02-14,23,15,12
2019-02-15,42,21,15
2019-02-16,47, ,16
2019-02-19,94,46,34
2019-02-20,97,51,34
2019-02-21,111,64,41
2019-02-22,142,60,46
2019-02-23,131,24,42
2019-02-24,35,21,10
2019-02-25,33,14,4
2019-02-26,32,26,14
2019-02-27,53,50,25
2019-02-28,99,27,25
2019-03-03,74,48,24
2019-03-04,87,48,35
2019-03-05,68,38,31
2019-03-06,48,39,20
2019-03-07,63,42,28
2019-03-08,66,40,31
2019-03-09,53,44,27
2019-03-10,60,28,25
2019-03-11,37,31,21
2019-03-12,44,25,18
2019-03-13,29,18,34
2019-03-14,34,20,34
2019-03-15,33,38,64
2019-03-16,50,34,26
2019-03-17,42,39,20
2019-03-18,57,26,19
2019-03-19,37,29,21
2019-03-20,44,18,16
2019-03-21,30,20,23
2019-03-22,45,23,10
2019-03-23,48,27,12
2019-03-24,57,30,20
2019-03-25,63,33,32
2019-03-26,64,30,32
2019-03-27,56,19,20
2019-03-28,35,18,12
2019-03-29,34,20,11
2019-03-30,43,26,19
2019-03-31,47,36,30
2019-04-01,71,55,37
2018-10-03,45,24,25
2018-10-04,40,13,11
2018-10-05,33,14,8
2018-10-06,46,19,21
2018-10-07,41,19,22
2018-10-08,44,18,22
2018-10-09,56,23,32
2018-10-10,48,26,34
2018-10-11,57,37,34
2018-10-12,75,34,39
2018-10-13,74,31,31
2018-10-14,69,39,32
2018-10-15,86,17,36
2018-10-16,46,25,19
2018-10-17,50,28,29
2018-10-18,56,22,40
2018-10-19,44,38,18
2018-10-20,74,40,34
2018-10-21,73,31,29
2018-10-22,67,9,26
2018-10-23,28,16,15
2018-10-24,48,34,12
2018-10-25,66,34,35
2018-10-26,59,29,41
2018-10-27,49,25,30
2018-10-28,38,32,17
2018-10-29,35,63,13
2018-10-30,65,30,15
2018-10-31,35,34,20
2018-11-01,53,37,35
2018-11-02,49,20,25
2018-11-03,47,22,23
2018-11-04,45,25,19
2018-11-05,57,29,21
2018-11-06,52,33,31
2018-11-07,58,31,33
2018-11-08,59,29,34
2018-11-09,55,33,32
2018-11-10,60,35,36
2018-11-11,73,37,33
2018-11-12,81,46,32
2018-11-13,95,46,41
2018-11-14,99,55,33
2018-11-15,119,25,40
2018-11-16,57,15,22
2018-11-17,41,12,16
2018-11-18,34,12,10
2018-11-19,37,29,9
2018-11-20,58,31,21
2018-11-21,45,30,20
2018-11-22,65,41,30
2018-11-23,84,41,37
2018-11-24,78,40,35
2018-11-25,84,18,29
2018-11-26,37,22,21
2018-11-27,38,20,24
2018-11-28,44,12,22
2018-11-29,38,19,16
2018-11-30,42,38,17
2018-12-01,84,31,33
2018-12-02,76,25,26
2018-12-03,61,42,23
2018-12-04,87,29,41
2018-12-05,68,27,30
2018-09-07,52,27,27
2018-09-08,59,32,36
2018-09-09,50,27,26
2018-09-10,63,30,31
2018-09-11,56,30,37
2018-09-12,45,21,23
2018-09-13,44,21,21
2018-09-14,65,31,33
2018-09-15,51,26,35
2018-09-16,60,28,25
2018-09-17,54,27,24
2018-09-18,56,30,31
2018-09-19,60,31,30
2018-09-20,57,29,25
2018-09-21,62,33,30
2018-09-22,70,34,36
2018-09-23,72,40,30
2018-09-24,68,36,34
2018-09-25,56,26,26
2018-09-26,46,32,7
2018-09-27,63,30,6
2018-09-28,39,15,7
2018-09-29,44,21,22
2020-05-31, ,9,8
2020-01-01, ,56,17
2019-10-18, ,5,35
2019-10-19, ,10,31
2019-10-21, ,45,41
2019-02-05, ,16,20
2019-02-18, ,47,23
2019-03-01, ,30,24
2019-03-02, ,34,25
2018-10-02, ,24,30
