date, pm25, pm10, o3, no2, so2
2019-11-16,34,24, ,18,5
2019-11-17,65,10, ,27,5
2019-11-18,25,19, ,21,5
2019-11-19,53,12,8,28,5
2019-11-20,34,18,7,25,5
2019-11-21,50,30,4,19,5
2019-11-22,72,30,4,22,5
2019-11-23,70,18,15,11,5
2019-11-24,46,17,18,6,5
2019-11-25,38,17,19,32,5
2019-11-26,42,17,19,32,5
2019-11-27,42,25,3,18,5
2019-11-28,61,28,3,21,5
2019-11-29,70,25,3,22,5
2019-11-30,50,29,4,16,5
2019-12-01,70,33,3,13,5
2019-12-02,80,12,4,23,5
2019-12-03,34,18,8,28,5
2019-12-04,55,31,8,34, 
2019-12-05,74,38,3,33,5
2019-12-06,89,47,3,21,5
2019-12-07,112,51,5,26,5
2019-12-08,129,55,4,22,5
2019-12-09,149,62,3,25,5
2019-12-10,155,31,5,31,5
2019-12-11,74,29,7,30,5
2019-12-12,65,20,8,29,5
2019-12-13,63,21,3,24,5
2019-12-14,63,21,3,24,5
2019-12-15,63,45,3,23,5
2019-12-16,119,47,3,21,5
2019-12-17,122,48,3,20,5
2019-12-18,119,32,3,19,5
2019-12-19,70,33,3,17,5
2019-12-20,59,21,3,20,5
2019-12-21,46,18,5,22,5
2019-12-22,46,7,19,11,5
2019-12-23,21,4,25,11,5
2019-12-24,13,9,22,29,5
2019-12-25,25,20,13,26,5
2019-12-26,59,26,7,27,5
2019-12-27,70,33,4,28, 
2019-12-28,82,43, ,27, 
2019-12-29,109,40, ,15, 
2019-12-30,99, , , , 
2019-07-02,61,23,79,29, 
2019-07-03,53,24,73,20,7
2019-07-04,55,20,79,29,7
2019-07-05,53,22,64,22,7
2019-07-06,57,22,78,21,7
2019-07-07,55,24,57,9,7
2019-07-08,55,21,40,14,7
2019-07-09,55,19,45,11,7
2019-07-10,42,18,39,26,7
2019-07-11,50,19,46,21,7
2019-07-12,53,20,55,9,7
2019-07-13,55,15,49,10,7
2019-07-14,50,10,41,12,7
2019-07-15,30,11,29,20,7
2019-07-16,25,13,44,32,7
2019-07-17,34,11,51,17,7
2019-07-18,30,20,42,31,7
2019-07-19,55,20,61,21,7
2019-07-20,57,17,62,16,7
2019-07-21,50,14,61,17,7
2019-07-22,42,24,68,22,7
2019-07-23,59,24,71,33,7
2019-07-24,65,29,83,32,7
2019-07-25,68,29,72,27,7
2019-07-26,65,20,58,17,7
2019-07-27,55,20,42,9,7
2019-07-28,46,16,29,18,7
2019-07-29,46,10,41,25,7
2019-07-30,25,16,54,16,7
2019-07-31,34,19,49,16,7
2019-08-01,50,19,59,27,7
2019-08-02,50,20,45,25,7
2019-08-03,46,12,50,27,7
2019-08-04,34,15,49,18,7
2019-08-05,46,17,55,16,7
2019-08-06,50,22,61,26, 
2019-08-07,59,20,45,25,7
2019-08-08,50,22,43,27,7
2019-08-09,57,29,46,28,7
2019-08-10,63,17,47, ,7
2019-08-11,50,22,45, ,7
2019-08-12,50,30,33,10,7
2019-08-13,61,20,37,16,7
2019-08-14,50,11,35,20,7
2019-08-15,25,13,39,16,7
2019-08-16,34,12,41,28,7
2019-08-17,30,17,46,26,7
2019-08-18,42,18,52,13,7
2019-08-19,46,16,47,22,7
2019-08-20,38, ,45,21,7
2019-08-24,68,26,43,17,7
2019-08-25,63,22,45,42,7
2019-08-26,61,29,46,27,7
2019-08-27,74,30,51,34,7
2019-08-28,74,38,33,22,7
2019-08-29,85,23,48,47,7
2019-08-30,61,30,60,19,7
2019-08-31,70,29,50,27, 
2019-09-01,72,23,45,22, 
2019-09-02,63,19,47,25,7
2019-09-03,55,20,36,21, 
2019-09-04,53,25,42,36,7
2019-09-05,59,20,45,27,7
2019-09-06,53,12,34,17,7
2019-09-07,30,14,34,15,7
2019-09-08,42,14,24,16,7
2019-09-09,38,10, ,33,7
2019-09-10,21,17,33,21,7
2019-09-11,38,23,37,35,7
2019-09-12,59,20, ,33,7
2019-09-13,53,22,44,42,7
2019-09-14,57,26,46,27,7
2019-09-15,63,19,39,37,7
2019-09-16,55,26,48,41,7
2019-09-17,65,20,48,29,7
2019-09-18,55,30,40,25,7
2019-09-19,68,15,16,21,5
2019-09-20,34,14,27,19,5
2019-09-21,38,20,30,27,5
2019-09-22,53,23,24,22,5
2019-09-23,59,26,16,27,5
2019-09-24,70,16,27,31,5
2019-09-25,50,30,20,32,5
2019-09-26,72,39,28,36,5
2019-09-27,87,31,21,37,5
2019-09-28,68,15,34,21,5
2019-09-29,46,12,33,14,5
2019-09-30,30,14,30,28,5
2019-10-01,38,22,26,39,5
2019-06-13,57,10,43,21,7
2019-06-14,34,22,50,24,7
